originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,interactor1,interactor1stage,interactor1sex,interactor1temp,interactor1tempunit,interactor1growthtemp,interactor1growthtempunit,coordinatetype,latitude,longitude,figuretable,citation,doi,notes
PHX80,fecundity,mean lifetime offspring,bmax,per capita daily rate of reproduction,51.5,offspring individual-1,3.93,3.93,se,1.366047745,eggs individual-1 day-1,Acyrthosiphon pisum,adult,female,10,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,fecundity,mean lifetime offspring,bmax,per capita daily rate of reproduction,74.9,offspring individual-1,4.24,4.24,se,2.869731801,eggs individual-1 day-1,Acyrthosiphon pisum,adult,female,15,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,fecundity,mean lifetime offspring,bmax,per capita daily rate of reproduction,62.5,offspring individual-1,4.22,4.22,se,3.955696203,eggs individual-1 day-1,Acyrthosiphon pisum,adult,female,20,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,fecundity,mean lifetime offspring,bmax,per capita daily rate of reproduction,56.2,offspring individual-1,4.11,4.11,se,5.155963303,eggs individual-1 day-1,Acyrthosiphon pisum,adult,female,25,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,fecundity,mean lifetime offspring,bmax,per capita daily rate of reproduction,4.5,offspring individual-1,110,110,se,0.542168675,eggs individual-1 day-1,Acyrthosiphon pisum,adult,female,30,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,survival,proportion surviving life stage,zj,per capita daily rate of mortality,0.78,proportion,0.05,0.05,,0.01,individual-1 day-1,Acyrthosiphon pisum,juvenile (not inc egg stage),,10,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,survival,proportion surviving life stage,zj,per capita daily rate of mortality,0.95,proportion,0.03,0.03,,0.004,individual-1 day-1,Acyrthosiphon pisum,juvenile (not inc egg stage),,15,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX80,survival,proportion surviving life stage,zj,per capita daily rate of mortality,0.82,proportion,0.05,0.05,,0.022,individual-1 day-1,Acyrthosiphon pisum,juvenile (not inc egg stage),,20,Celsius,25,Celsius,decimal,36.5,126.75,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,NA,days,,,,0.001,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,15,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,low temperature threshold for development. standardised trait value set to 0.001 for TPC fitting
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,51.3,days,,,,0.019493177,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,18,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,31.5,days,,,,0.031746032,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,20,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,17.2,days,,,,0.058139535,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,25,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,15.9,days,,,,0.062893082,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,30,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,NA,days,,,,0.001,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,34,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,high temperature threshold for development. standardised trait value set to 0.001 for TPC fitting
PHX13,development time,mean duration of life stage,1/alpha,per capita daily rate of development,NA,days,,,,0.001,individual-1 day-1,Paracoccus marginatus,juvenile (not inc egg stage),female,35,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 1,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,
PHX13,survival,percent surviving life stage,zj,per capita daily rate of mortality,0,percent,NA,NA,se,0.02,individual-1 day-1,Paracoccus marginatus,juvenile,,15,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 2,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,low temperature threshold. standardised trait value set to 0.02 for TPC fitting
PHX13,survival,percent surviving life stage,zj,per capita daily rate of mortality,30.5,percent,4.4,4.4,se,0.009,individual-1 day-1,Paracoccus marginatus,juvenile,,18,Celsius,25,Celsius,decimal,25.468722,-80.477557,table 2,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101: 1798-1804.,10.1603/0022-0493-101.6.1798,
