"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",0.116536337015564,0.178923430024771,"residual bootstrap",0.130926876018464,"Aedes albopictus","juvenile development rate"
"2","topt",29.7196639531261,33.571666321221,"residual bootstrap",31.16,"Aedes albopictus","juvenile development rate"
"3","ctmin",-3.343,7.65596184275718,"residual bootstrap",4.284,"Aedes albopictus","juvenile development rate"
"4","ctmax",36.0170056040807,44.9778167370029,"residual bootstrap",41.121,"Aedes albopictus","juvenile development rate"
"5","thermal_safety_margin",2.59915283198943,14.5195159939732,"residual bootstrap",9.961,"Aedes albopictus","juvenile development rate"
"6","thermal_tolerance",33.0359393985396,44.641,"residual bootstrap",36.837,"Aedes albopictus","juvenile development rate"
"7","breadth",3.77900247491629,7.65418489198108,"residual bootstrap",6.226,"Aedes albopictus","juvenile development rate"
"8","r_tref",0.0187091241623904,0.0352270428047564,"residual bootstrap",0.0251498227928393,"Aedes albopictus","juvenile development rate"
"9","e",0.656796949687272,1.11366262966387,"residual bootstrap",0.865978428510254,"Aedes albopictus","juvenile development rate"
"10","eh",3.30776116022802,19.9998441562107,"residual bootstrap",4.74147120512369,"Aedes albopictus","juvenile development rate"
"11","rmax",0.0784548691756298,0.0941615392712402,"residual bootstrap",0.0828250220891713,"Bemisia tabaci","juvenile development rate"
"12","topt",29.2972014676073,30.6407371931403,"residual bootstrap",29.751,"Bemisia tabaci","juvenile development rate"
"13","ctmin",-3.78172601604262,0.285868294758917,"residual bootstrap",-1.668,"Bemisia tabaci","juvenile development rate"
"14","ctmax",33.2475661565811,35.840485623476,"residual bootstrap",34.952,"Bemisia tabaci","juvenile development rate"
"15","thermal_safety_margin",2.634,6.45113692112441,"residual bootstrap",5.201,"Bemisia tabaci","juvenile development rate"
"16","thermal_tolerance",33.9441973391028,39.0220275528414,"residual bootstrap",36.62,"Bemisia tabaci","juvenile development rate"
"17","breadth",4.15068067287832,5.67863378766579,"residual bootstrap",5.076,"Bemisia tabaci","juvenile development rate"
"18","r_tref",0.0212892422622572,0.0245841066971799,"residual bootstrap",0.0229519093064653,"Bemisia tabaci","juvenile development rate"
"19","e",0.646929512100985,0.75213731184916,"residual bootstrap",0.694108026555306,"Bemisia tabaci","juvenile development rate"
"20","eh",7.46601010839548,20,"residual bootstrap",9.30152735724933,"Bemisia tabaci","juvenile development rate"
"21","rmax",0.116954744057884,0.118896686318229,"residual bootstrap",0.117949376112083,"Tetraneura nigriabdominalis","juvenile development rate"
"22","topt",30.552,30.7807984162253,"residual bootstrap",30.648,"Tetraneura nigriabdominalis","juvenile development rate"
"23","ctmin",-1.77113713799508,-0.569448587766321,"residual bootstrap",-1.248,"Tetraneura nigriabdominalis","juvenile development rate"
"24","ctmax",51.4029821228398,54.9187733932465,"residual bootstrap",53.336,"Tetraneura nigriabdominalis","juvenile development rate"
"25","thermal_safety_margin",20.6740258534474,24.2925720957163,"residual bootstrap",22.688,"Tetraneura nigriabdominalis","juvenile development rate"
"26","thermal_tolerance",53.3841960824117,56.1374419355596,"residual bootstrap",54.584,"Tetraneura nigriabdominalis","juvenile development rate"
"27","breadth",9.608,9.94600222460691,"residual bootstrap",9.811,"Tetraneura nigriabdominalis","juvenile development rate"
"28","r_tref",0.0357780380223725,0.0371331729442352,"residual bootstrap",0.0364911749482613,"Tetraneura nigriabdominalis","juvenile development rate"
"29","e",0.731392120341538,0.784834060134445,"residual bootstrap",0.758045542676999,"Tetraneura nigriabdominalis","juvenile development rate"
"30","eh",2.1980295858938,2.44551580554999,"residual bootstrap",2.30486060442615,"Tetraneura nigriabdominalis","juvenile development rate"
"31","rmax",0.142107820685917,0.16417956449972,"residual bootstrap",0.152817553368583,"Stethorus punctillum","juvenile development rate"
"32","topt",32.7691509463237,32.979,"residual bootstrap",32.875,"Stethorus punctillum","juvenile development rate"
"33","ctmin",-3.89276951651018,4.36446650626016,"residual bootstrap",0.759999999999998,"Stethorus punctillum","juvenile development rate"
"34","ctmax",35.421,35.7127233615902,"residual bootstrap",35.547,"Stethorus punctillum","juvenile development rate"
"35","thermal_safety_margin",2.62814950698455,2.72316748804203,"residual bootstrap",2.672,"Stethorus punctillum","juvenile development rate"
"36","thermal_tolerance",31.1010365524181,39.4784803289693,"residual bootstrap",34.787,"Stethorus punctillum","juvenile development rate"
"37","breadth",3.67000053988522,4.49706053169862,"residual bootstrap",4.032,"Stethorus punctillum","juvenile development rate"
"38","r_tref",0.0271648975393824,0.0380873385644924,"residual bootstrap",0.0318053172383893,"Stethorus punctillum","juvenile development rate"
"39","e",0.582439473315923,0.778596301241954,"residual bootstrap",0.682209533443764,"Stethorus punctillum","juvenile development rate"
"40","rmax",0.319151060455118,0.384734893967357,"residual bootstrap",0.351072594405236,"Tetranychus mcdanieli","juvenile development rate"
"41","topt",34.9605061009107,35.8081172934604,"residual bootstrap",35.182,"Tetranychus mcdanieli","juvenile development rate"
"42","ctmin",-7.788,6.21918147021161,"residual bootstrap",2.209,"Tetranychus mcdanieli","juvenile development rate"
"43","ctmax",37.6840118410404,38.5848865769156,"residual bootstrap",37.899,"Tetranychus mcdanieli","juvenile development rate"
"44","thermal_safety_margin",2.66411545127888,2.827,"residual bootstrap",2.717,"Tetranychus mcdanieli","juvenile development rate"
"45","thermal_tolerance",31.6150036614301,45.971,"residual bootstrap",35.69,"Tetranychus mcdanieli","juvenile development rate"
"46","breadth",3.70553937171576,5.284,"residual bootstrap",4.148,"Tetranychus mcdanieli","juvenile development rate"
"47","r_tref",0.046101427712775,0.084449253005257,"residual bootstrap",0.0616397022113361,"Tetranychus mcdanieli","juvenile development rate"
"48","e",0.530061873991742,0.81297219355581,"residual bootstrap",0.673151182420385,"Tetranychus mcdanieli","juvenile development rate"
"49","rmax",0.147324890295674,0.193466058476549,"residual bootstrap",0.169812693102613,"Tetranychus urticae","juvenile development rate"
"50","topt",28.6583029775125,33.4376332805129,"residual bootstrap",31.467,"Tetranychus urticae","juvenile development rate"
"51","ctmin",-25.2810544995738,2.22745093177754,"residual bootstrap",-7.264,"Tetranychus urticae","juvenile development rate"
"52","ctmax",36.6692635803935,47.2505069582746,"residual bootstrap",41.692,"Tetranychus urticae","juvenile development rate"
"53","thermal_safety_margin",2.92772589243551,17.5121786356767,"residual bootstrap",10.225,"Tetranychus urticae","juvenile development rate"
