"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",9.73016706195399,18.7890398621984,"residual bootstrap",13.0016835999508,"Bemisia tabaci","fecundity rate"
"2","topt",34.3308291217369,35.8778634450831,"residual bootstrap",34.721,"Bemisia tabaci","fecundity rate"
"3","ctmin",-30.4492875921676,12.4214362297393,"residual bootstrap",-4.071,"Bemisia tabaci","fecundity rate"
"4","ctmax",37.0950339588592,38.8974061924253,"residual bootstrap",37.495,"Bemisia tabaci","fecundity rate"
"5","thermal_safety_margin",2.58217399642643,3.20381501375868,"residual bootstrap",2.774,"Bemisia tabaci","fecundity rate"
"6","thermal_tolerance",24.8182076482575,68.8699094714515,"residual bootstrap",41.566,"Bemisia tabaci","fecundity rate"
"7","breadth",3.20696917218467,11.1631740571078,"residual bootstrap",4.823,"Bemisia tabaci","fecundity rate"
"8","r_tref",1.66788103357182,5.68171752739919,"residual bootstrap",3.17089247950473,"Bemisia tabaci","fecundity rate"
"9","e",0.237964104247256,0.913490485581807,"residual bootstrap",0.558138848581853,"Bemisia tabaci","fecundity rate"
"10","rmax",2.50399145284494,3.7491819627892,"residual bootstrap",3.07918338557404,"Tetraneura nigriabdominalis","fecundity rate"
"11","topt",27.951,29.1052709226597,"residual bootstrap",28.832,"Tetraneura nigriabdominalis","fecundity rate"
"12","ctmin",-1.423,9.74242257850686,"residual bootstrap",5.977,"Tetraneura nigriabdominalis","fecundity rate"
"13","ctmax",31.5750225597495,35.998,"residual bootstrap",32.672,"Tetraneura nigriabdominalis","fecundity rate"
"14","thermal_safety_margin",2.50198750707712,7.826,"residual bootstrap",3.84,"Tetraneura nigriabdominalis","fecundity rate"
"15","thermal_tolerance",22.2550642241487,36.184,"residual bootstrap",26.695,"Tetraneura nigriabdominalis","fecundity rate"
"16","breadth",3.00532503277498,5.475,"residual bootstrap",3.659,"Tetraneura nigriabdominalis","fecundity rate"
"17","r_tref",0.436166805198883,0.793169592007225,"residual bootstrap",0.549234084315934,"Tetraneura nigriabdominalis","fecundity rate"
"18","e",0.677032578003696,1.17648561520802,"residual bootstrap",0.979488308935609,"Tetraneura nigriabdominalis","fecundity rate"
"19","eh",5.67227816814017,20,"residual bootstrap",12.3975778944221,"Tetraneura nigriabdominalis","fecundity rate"
"20","rmax",6.17256437074239,8.94250277165323,"residual bootstrap",7.11410805989007,"Stethorus punctillum","fecundity rate"
"21","topt",27.9880411737504,30.848,"residual bootstrap",30.131,"Stethorus punctillum","fecundity rate"
"22","ctmin",-12.479,15.5828730304237,"residual bootstrap",9.551,"Stethorus punctillum","fecundity rate"
"23","ctmax",33.0824015891505,63.375,"residual bootstrap",33.945,"Stethorus punctillum","fecundity rate"
"24","thermal_safety_margin",2.48869295328576,35.052,"residual bootstrap",3.814,"Stethorus punctillum","fecundity rate"
"25","thermal_tolerance",18.9385153516909,51.915,"residual bootstrap",24.394,"Stethorus punctillum","fecundity rate"
"26","breadth",2.70767365208193,8.18470018258402,"residual bootstrap",3.415,"Stethorus punctillum","fecundity rate"
"27","r_tref",0.413914931408245,2.26293160070008,"residual bootstrap",0.840305100272187,"Stethorus punctillum","fecundity rate"
