"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",3.77235290288955,6.71900757798525,"residual bootstrap",4.97381417307106,"Aedes albopictus","fecundity rate"
"2","topt",22.3622965468085,26.9932476779497,"residual bootstrap",23.14,"Aedes albopictus","fecundity rate"
"3","ctmin",17.6221861872341,22.0089763748548,"residual bootstrap",18.637,"Aedes albopictus","fecundity rate"
"4","ctmax",42.6734988503774,77.9501512419918,"residual bootstrap",Inf,"Aedes albopictus","fecundity rate"
"5","thermal_safety_margin",19.1775462740246,55.1338671054726,"residual bootstrap",Inf,"Aedes albopictus","fecundity rate"
"6","thermal_tolerance",23.0180274082315,59.6170066718052,"residual bootstrap",Inf,"Aedes albopictus","fecundity rate"
"7","breadth",3.25905391760155,9.32716680154737,"residual bootstrap",5.934,"Aedes albopictus","fecundity rate"
"8","r_tref",3.32379312116688e-05,0.00602715678652172,"residual bootstrap",0.00170455737288083,"Aedes albopictus","fecundity rate"
"9","eh",10.0044308687106,11.5395287560818,"residual bootstrap",10.4809407992377,"Aedes albopictus","fecundity rate"
"10","rmax",8.80157335417764,12.9747943223361,"residual bootstrap",10.2824425540401,"Bemisia tabaci","fecundity rate"
"11","topt",25.5130707789169,36,"residual bootstrap",30.157,"Bemisia tabaci","fecundity rate"
"12","ctmin",-7.09540933423567,17.1022164796904,"residual bootstrap",9.802,"Bemisia tabaci","fecundity rate"
"13","ctmax",37.3767372312008,85.478,"residual bootstrap",Inf,"Bemisia tabaci","fecundity rate"
"14","thermal_safety_margin",2.76491953297363,53.9156316551881,"residual bootstrap",Inf,"Bemisia tabaci","fecundity rate"
"15","thermal_tolerance",34.785920885278,81.6555134565755,"residual bootstrap",Inf,"Bemisia tabaci","fecundity rate"
"16","breadth",5.24974474893621,14.9529241723404,"residual bootstrap",11.049,"Bemisia tabaci","fecundity rate"
"17","r_tref",0.221204953499845,4.38348700843384,"residual bootstrap",1.6775331807943,"Bemisia tabaci","fecundity rate"
"18","e",0.544573734536693,6.0102112854949,"residual bootstrap",1.58778616443087,"Bemisia tabaci","fecundity rate"
"19","eh",1.02946527744213,2.91058536639846,"residual bootstrap",2.12048663367313,"Bemisia tabaci","fecundity rate"
"20","rmax",2.5546964532175,3.94808025618424,"residual bootstrap",3.07918341008961,"Tetraneura nigriabdominalis","fecundity rate"
"21","topt",28.153,29.1350315189422,"residual bootstrap",28.832,"Tetraneura nigriabdominalis","fecundity rate"
"22","ctmin",-2.935,9.69527659096955,"residual bootstrap",5.977,"Tetraneura nigriabdominalis","fecundity rate"
"23","ctmax",31.5344905964562,35.936,"residual bootstrap",32.672,"Tetraneura nigriabdominalis","fecundity rate"
"24","thermal_safety_margin",2.487,7.51599999999999,"residual bootstrap",3.84,"Tetraneura nigriabdominalis","fecundity rate"
"25","thermal_tolerance",21.10397552211,37.3998418434084,"residual bootstrap",26.695,"Tetraneura nigriabdominalis","fecundity rate"
"26","breadth",2.95791421094375,5.709,"residual bootstrap",3.659,"Tetraneura nigriabdominalis","fecundity rate"
"27","r_tref",0.439642160972653,0.797259024731589,"residual bootstrap",0.549234082616413,"Tetraneura nigriabdominalis","fecundity rate"
"28","e",0.675698326234311,1.18100615099375,"residual bootstrap",0.979488311239239,"Tetraneura nigriabdominalis","fecundity rate"
"29","eh",5.85472705569208,20,"residual bootstrap",12.3975785060854,"Tetraneura nigriabdominalis","fecundity rate"
"30","rmax",4.31675262571542,7.90010980078527,"residual bootstrap",6.02095050687161,"Stethorus punctillum","fecundity rate"
"31","topt",23.2718040220122,33.2799568846658,"residual bootstrap",29.442,"Stethorus punctillum","fecundity rate"
"32","ctmin",-23.4124107426074,18.1437075739706,"residual bootstrap",7.599,"Stethorus punctillum","fecundity rate"
"33","ctmax",36.5205100133881,84.346,"residual bootstrap",40.864,"Stethorus punctillum","fecundity rate"
"34","thermal_safety_margin",4.60549961857174,58.763,"residual bootstrap",11.422,"Stethorus punctillum","fecundity rate"
"35","thermal_tolerance",20.4204756802831,59.0103110695099,"residual bootstrap",33.265,"Stethorus punctillum","fecundity rate"
"36","breadth",4.14761041998594,15.613,"residual bootstrap",6.04300000000001,"Stethorus punctillum","fecundity rate"
"37","r_tref",0.0395012294091541,2.67270205907854,"residual bootstrap",0.971119358515254,"Stethorus punctillum","fecundity rate"
"38","e",0.391017224149982,4.64325037785513,"residual bootstrap",1.1085023727582,"Stethorus punctillum","fecundity rate"
