"","originalid","originaltraitname","originaltraitunit","rate","interactor1","temp","citation","inversetraitvalue","adjustedtraitname","cit","conc"
"1","csm5A","Development Rate","1/days",0.0218949,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",45.6727365733573,"a","Delatte","Aedesalbopictus"
"2","csm5A","Development Rate","1/days",0.02282083,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",43.8196156756788,"a","Delatte","Aedesalbopictus"
"3","csm5A","Development Rate","1/days",0.02420971,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",41.3057405479041,"a","Delatte","Aedesalbopictus"
"4","csm5A","Development Rate","1/days",0.0255986,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",39.0646363473002,"a","Delatte","Aedesalbopictus"
"5","csm5A","Development Rate","1/days",0.02652453,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",37.7009507802777,"a","Delatte","Aedesalbopictus"
"6","csm5A","Development Rate","1/days",0.02791342,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",35.8250619236195,"a","Delatte","Aedesalbopictus"
"7","csm5A","Development Rate","1/days",0.02930231,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",34.1270022738822,"a","Delatte","Aedesalbopictus"
"8","csm5A","Development Rate","1/days",0.02976527,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",33.5962012103367,"a","Delatte","Aedesalbopictus"
"9","csm5A","Development Rate","1/days",0.03115416,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",32.0984420700157,"a","Delatte","Aedesalbopictus"
"10","csm5A","Development Rate","1/days",0.03300601,"Aedes albopictus",15,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",30.2975124833326,"a","Delatte","Aedesalbopictus"
"11","csm5A","Development Rate","1/days",0.04964394,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",20.143445504124,"a","Delatte","Aedesalbopictus"
"12","csm5A","Development Rate","1/days",0.05219023,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",19.1606743254437,"a","Delatte","Aedesalbopictus"
"13","csm5A","Development Rate","1/days",0.05519949,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",18.1161094060833,"a","Delatte","Aedesalbopictus"
"14","csm5A","Development Rate","1/days",0.05820875,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",17.1795477484055,"a","Delatte","Aedesalbopictus"
"15","csm5A","Development Rate","1/days",0.06214394,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",16.0916736209516,"a","Delatte","Aedesalbopictus"
"16","csm5A","Development Rate","1/days",0.06584764,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",15.1865731254757,"a","Delatte","Aedesalbopictus"
"17","csm5A","Development Rate","1/days",0.07094023,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",14.0963738065129,"a","Delatte","Aedesalbopictus"
"18","csm5A","Development Rate","1/days",0.07649579,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",13.0726148458628,"a","Delatte","Aedesalbopictus"
"19","csm5A","Development Rate","1/days",0.08297727,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",12.0514931378195,"a","Delatte","Aedesalbopictus"
"20","csm5A","Development Rate","1/days",0.09038468,"Aedes albopictus",20,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",11.0638218777784,"a","Delatte","Aedesalbopictus"
"21","csm5A","Development Rate","1/days",0.04290161,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",23.3091485377821,"a","Delatte","Aedesalbopictus"
"22","csm5A","Development Rate","1/days",0.04475346,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",22.3446410623894,"a","Delatte","Aedesalbopictus"
"23","csm5A","Development Rate","1/days",0.05517013,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",18.1257502927762,"a","Delatte","Aedesalbopictus"
"24","csm5A","Development Rate","1/days",0.08294791,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",12.055758849138,"a","Delatte","Aedesalbopictus"
"25","csm5A","Development Rate","1/days",0.09058711,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",11.0390981674987,"a","Delatte","Aedesalbopictus"
"26","csm5A","Development Rate","1/days",0.09961489,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.0386598830757,"a","Delatte","Aedesalbopictus"
"27","csm5A","Development Rate","1/days",0.11026272,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",9.06924842775509,"a","Delatte","Aedesalbopictus"
"28","csm5A","Development Rate","1/days",0.12415161,"Aedes albopictus",25,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",8.05466799826438,"a","Delatte","Aedesalbopictus"
"29","csm5A","Development Rate","1/days",0.05815065,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",17.1967123325363,"a","Delatte","Aedesalbopictus"
"30","csm5A","Development Rate","1/days",0.06602133,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",15.1466200393115,"a","Delatte","Aedesalbopictus"
"31","csm5A","Development Rate","1/days",0.07643768,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",13.0825530026552,"a","Delatte","Aedesalbopictus"
"32","csm5A","Development Rate","1/days",0.08291917,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",12.0599374065129,"a","Delatte","Aedesalbopictus"
"33","csm5A","Development Rate","1/days",0.09032657,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",11.0709395917502,"a","Delatte","Aedesalbopictus"
"34","csm5A","Development Rate","1/days",0.09958583,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",10.0415892501975,"a","Delatte","Aedesalbopictus"
"35","csm5A","Development Rate","1/days",0.11023398,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",9.07161294548196,"a","Delatte","Aedesalbopictus"
"36","csm5A","Development Rate","1/days",0.12412287,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",8.05653301442353,"a","Delatte","Aedesalbopictus"
"37","csm5A","Development Rate","1/days",0.14264139,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",7.01058788055837,"a","Delatte","Aedesalbopictus"
"38","csm5A","Development Rate","1/days",0.16602102,"Aedes albopictus",30,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",6.02333367184469,"a","Delatte","Aedesalbopictus"
"39","csm5A","Development Rate","1/days",0.07640894,"Aedes albopictus",35,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",13.0874737956056,"a","Delatte","Aedesalbopictus"
"40","csm5A","Development Rate","1/days",0.08289043,"Aedes albopictus",35,"Delatte, Hélène, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.",12.0641188614898,"a","Delatte","Aedesalbopictus"
"41","MSS0001","Development time","days",37.100001,"Aedes camptorhynchus",15,"Barton PS, Aberton JG. 2005. Larval Development and Autogeny in Ochlerotatus camptorhynchus (Thomson) (Diptera: Culicidae) from Southern Victoria. The Proceedings of the Linnean Society of New South Wales 126(), 261-267",0.0269541771710464,"a","Barton","Aedescamptorhynchus"
"42","MSS0001","Development time","days",26.500001,"Aedes camptorhynchus",20,"Barton PS, Aberton JG. 2005. Larval Development and Autogeny in Ochlerotatus camptorhynchus (Thomson) (Diptera: Culicidae) from Southern Victoria. The Proceedings of the Linnean Society of New South Wales 126(), 261-267",0.0377358476326095,"a","Barton","Aedescamptorhynchus"
"43","MSS0001","Development time","days",20.200001,"Aedes camptorhynchus",25,"Barton PS, Aberton JG. 2005. Larval Development and Autogeny in Ochlerotatus camptorhynchus (Thomson) (Diptera: Culicidae) from Southern Victoria. The Proceedings of the Linnean Society of New South Wales 126(), 261-267",0.0495049480443095,"a","Barton","Aedescamptorhynchus"
"44","MSS0001","Development time","days",13.300001,"Aedes camptorhynchus",30,"Barton PS, Aberton JG. 2005. Larval Development and Autogeny in Ochlerotatus camptorhynchus (Thomson) (Diptera: Culicidae) from Southern Victoria. The Proceedings of the Linnean Society of New South Wales 126(), 261-267",0.0751879642715816,"a","Barton","Aedescamptorhynchus"
"45","MSS0001","Development time","days",12.100001,"Aedes camptorhynchus",35,"Barton PS, Aberton JG. 2005. Larval Development and Autogeny in Ochlerotatus camptorhynchus (Thomson) (Diptera: Culicidae) from Southern Victoria. The Proceedings of the Linnean Society of New South Wales 126(), 261-267",0.0826446212690396,"a","Barton","Aedescamptorhynchus"
"46","MSS0003","Development time","days",18.900001,"Aedes camptorhynchus",25,"Barton PS, Aberton JG. 2005. Larval Development and Autogeny in Ochlerotatus camptorhynchus (Thomson) (Diptera: Culicidae) from Southern Victoria. The Proceedings of the Linnean Society of New South Wales 126(), 261-267",0.0529100501105794,"a","Barton","Aedescamptorhynchus"
