"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",5.85211171508903,9.95430828585828,"residual bootstrap",7.28686097984254,"Anthonomus grandis","fecundity"
"2","topt",27.2058162810772,28.8903779979559,"residual bootstrap",28.004,"Anthonomus grandis","fecundity"
"3","rmax",5.73366604167709,7.5121128336405,"residual bootstrap",6.81390326936935,"Aphis gossypii","fecundity"
"4","topt",21.9300551112211,24.8784434118264,"residual bootstrap",23.493,"Aphis gossypii","fecundity"
"5","rmax",2.70397855695551,4.23077735443974,"residual bootstrap",2.98736837594565,"Aphis nasturtii","fecundity"
"6","topt",23.256856026655,29.068,"residual bootstrap",26.133,"Aphis nasturtii","fecundity"
"7","rmax",13.209033622017,15.3589430041235,"residual bootstrap",14.599961931279,"Muscidifurax zaraptor","fecundity"
"8","topt",26.147,30.4448266106702,"residual bootstrap",28.515,"Muscidifurax zaraptor","fecundity"
"9","rmax",13.2737816238892,18.5937768762222,"residual bootstrap",14.917390597748,"Paracoccus marginatu","fecundity"
"10","topt",23.3520654815567,28.1820382125166,"residual bootstrap",24.21,"Paracoccus marginatu","fecundity"
"11","rmax",4.76793377578673,6.30749060823094,"residual bootstrap",5.4508017206576,"Planococcus citri","fecundity"
"12","topt",24.602228698052,26.3136109092394,"residual bootstrap",25.57,"Planococcus citri","fecundity"
"13","rmax",3.06830424782322,4.52745237525225,"residual bootstrap",3.692463512349,"Rhopalosiphum maidis","fecundity"
"14","topt",27.134,28.9760392660866,"residual bootstrap",28.45,"Rhopalosiphum maidis","fecundity"
"15","rmax",2.54553861586064,3.73134465027643,"residual bootstrap",3.07980015488367,"Tetraneura nigriabdominalis","fecundity"
"16","topt",27.976,29.0906825240349,"residual bootstrap",28.832,"Tetraneura nigriabdominalis","fecundity"
