"","X","param","conf_lower","conf_upper","method","estimate","species","trait"
"1",9,"e",0.591911694046704,0.871534302676666,"residual bootstrap",0.725914547203151,"Aedes aegypti","juvenile development rate"
"2",19,"e",0.524052711566194,1.23175527613159,"residual bootstrap",0.776578434337351,"Aedes albopictus","juvenile development rate"
"3",29,"e",0.654747654459304,1.19560744996555,"residual bootstrap",0.909801274561384,"Aedes krombeini","juvenile development rate"
"4",38,"e",0.540311633104916,1.0748194539215,"residual bootstrap",0.718361970050032,"Anopheles gambiae","juvenile development rate"
"5",47,"e",0.499804189532969,0.973304412214719,"residual bootstrap",0.704349781945885,"Anthonomus grandis","juvenile development rate"
"6",57,"e",0.417036079043238,0.551425296701031,"residual bootstrap",0.49011201431377,"Aphis gossypii","juvenile development rate"
"7",66,"e",0.572840176960282,1.1164721917588,"residual bootstrap",0.701874858983053,"Aphis nasturtii","juvenile development rate"
"8",76,"e",0.795965411361294,1.01813289449988,"residual bootstrap",0.849708411237515,"Bemisia tabaci","juvenile development rate"
"9",85,"e",1.42978348117088,2.36650355882231,"residual bootstrap",1.94890554341318,"Muscidifurax zaraptor","juvenile development rate"
"10",95,"e",0.912764819701158,1.80547223412124,"residual bootstrap",1.27350291319594,"Paracoccus marginatu","juvenile development rate"
"11",105,"e",0.743798690228113,2.08988720355316,"residual bootstrap",1.16982321955515,"Planococcus citri","juvenile development rate"
"12",115,"e",0.722966244640334,0.951622738206214,"residual bootstrap",0.823934474259711,"Rhopalosiphum maidis","juvenile development rate"
"13",125,"e",0.438493338196643,0.721455490902412,"residual bootstrap",0.557153839988297,"Stethorus punctillum","juvenile development rate"
"14",134,"e",0.624851866021943,0.87162810213725,"residual bootstrap",0.751338030852168,"Telenomus isis","juvenile development rate"
"15",144,"e",0.735895526066936,0.790742265436031,"residual bootstrap",0.758045541659587,"Tetraneura nigriabdominalis","juvenile development rate"
"16",154,"e",0.5443093712127,0.808816392951851,"residual bootstrap",0.677352626038142,"Tetranychus mcdanieli","juvenile development rate"
