"","originalid","originaltraitname","originaltraitunit","rate","interactor1","temp","citation","inversetraitvalue","adjustedtraitname","cit","conc"
"1","csm1B","Mortality Rate","1/days",0.161731,"Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",6.18310651637596,"zj","Yang","Aedesaegypti"
"2","csm1B","Mortality Rate","1/days",0.097291,"Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.2784430214511,"zj","Yang","Aedesaegypti"
"3","csm1B","Mortality Rate","1/days",0.081701,"Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",12.2397522674141,"zj","Yang","Aedesaegypti"
"4","csm1B","Mortality Rate","1/days",0.222531,"Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",4.49375592614063,"zj","Yang","Aedesaegypti"
"5","csm1B","Mortality Rate","1/days",0.468861,"Aedes aegypti",10.38,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",2.13282827959672,"zj","Yang","Aedesaegypti"
"6","csm1B","Mortality Rate","1/days",0.174551,"Aedes aegypti",10.45,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",5.72898465205012,"zj","Yang","Aedesaegypti"
"7","csm1B","Mortality Rate","1/days",0.207061,"Aedes aegypti",10.45,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",4.82949468997059,"zj","Yang","Aedesaegypti"
"8","csm1B","Mortality Rate","1/days",0.020871,"Aedes aegypti",14.74,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",47.9133726222989,"zj","Yang","Aedesaegypti"
"9","csm1B","Mortality Rate","1/days",0.023441,"Aedes aegypti",14.84,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",42.6602960624547,"zj","Yang","Aedesaegypti"
"10","csm1B","Mortality Rate","1/days",0.018091,"Aedes aegypti",14.92,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",55.2761041401802,"zj","Yang","Aedesaegypti"
"11","csm1B","Mortality Rate","1/days",0.036721,"Aedes aegypti",18.86,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",27.2323738460282,"zj","Yang","Aedesaegypti"
"12","csm1B","Mortality Rate","1/days",0.020631,"Aedes aegypti",19.04,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",48.4707479036402,"zj","Yang","Aedesaegypti"
"13","csm1B","Mortality Rate","1/days",0.033101,"Aedes aegypti",19.18,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",30.2105676565663,"zj","Yang","Aedesaegypti"
"14","csm1B","Mortality Rate","1/days",0.067791,"Aedes aegypti",26.56,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",14.7512206635099,"zj","Yang","Aedesaegypti"
"15","csm1B","Mortality Rate","1/days",0.063111,"Aedes aegypti",26.84,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",15.8450983188351,"zj","Yang","Aedesaegypti"
"16","csm1B","Mortality Rate","1/days",0.063881,"Aedes aegypti",26.85,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",15.6541068549334,"zj","Yang","Aedesaegypti"
"17","csm1B","Mortality Rate","1/days",0.104981,"Aedes aegypti",30.83,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",9.52553319172041,"zj","Yang","Aedesaegypti"
"18","csm1B","Mortality Rate","1/days",0.059361,"Aedes aegypti",31.61,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",16.8460773908795,"zj","Yang","Aedesaegypti"
"19","csm1B","Mortality Rate","1/days",0.115671,"Aedes aegypti",34.95,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",8.64520925729007,"zj","Yang","Aedesaegypti"
"20","csm1B","Mortality Rate","1/days",0.070621,"Aedes aegypti",36.47,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",14.1600940230243,"zj","Yang","Aedesaegypti"
"21","csm1B","Mortality Rate","1/days",0.099931,"Aedes aegypti",36.55,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.0069047642874,"zj","Yang","Aedesaegypti"
"22","csm1B","Mortality Rate","1/days",0.319941,"Aedes aegypti",39.95,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",3.12557627812628,"zj","Yang","Aedesaegypti"
"23","csm1B","Mortality Rate","1/days",0.266441,"Aedes aegypti",40.16,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",3.75317612529603,"zj","Yang","Aedesaegypti"
"24","csm1B","Mortality Rate","1/days",0.284821,"Aedes aegypti",40.64,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",3.51097706980876,"zj","Yang","Aedesaegypti"
"25","csm1E","Mortality Rate","1/day",0.075851,"Aedes aegypti",10.54,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",13.1837418096004,"zj","Yang","Aedesaegypti"
