"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",29.6285581190026,39.4701426506658,"residual bootstrap",34.3874931080404,"Aedes aegypti","adult mortality rate"
"2","topt",22.3122791397709,29.1085827570352,"residual bootstrap",26.579,"Aedes aegypti","adult mortality rate"
"3","rmax",93.8206667361281,113.808726050358,"residual bootstrap",102.822863406398,"Aedes albopictus","adult mortality rate"
"4","topt",19.1291819732104,22.5786608261237,"residual bootstrap",21.42,"Aedes albopictus","adult mortality rate"
"5","rmax",76.1904865339916,93.1336794413037,"residual bootstrap",81.9031622336521,"Aedes krombeini","adult mortality rate"
"6","topt",24.0099627626734,24.7807583261182,"residual bootstrap",24.331,"Aedes krombeini","adult mortality rate"
"7","rmax",24.4238737713526,31.4201629481107,"residual bootstrap",26.8832551392479,"Anopheles gambiae s.s.","adult mortality rate"
"8","topt",19.3701323128885,23.7433785235239,"residual bootstrap",21.653,"Anopheles gambiae s.s.","adult mortality rate"
"9","rmax",46.1822580413649,87.7882385329899,"residual bootstrap",61.3767683139143,"Anthonomus grandis","adult mortality rate"
"10","topt",13.829675304983,17.466,"residual bootstrap",15.713,"Anthonomus grandis","adult mortality rate"
"11","rmax",25.9180119928487,33.6194780424246,"residual bootstrap",28.4798886615455,"Aphis nasturtii","adult mortality rate"
"12","topt",17.4136650473499,19.2913023594203,"residual bootstrap",18.587,"Aphis nasturtii","adult mortality rate"
"13","rmax",23.7843939901649,27.2175443619082,"residual bootstrap",25.3679028918611,"Bemisia tabaci","adult mortality rate"
"14","topt",19.603,22.2926232754501,"residual bootstrap",21.215,"Bemisia tabaci","adult mortality rate"
"15","rmax",10.3721573962595,16.965659441541,"residual bootstrap",15.6176633430238,"Muscidifurax zaraptor","adult mortality rate"
"16","topt",15.9441570404824,18.9596897628996,"residual bootstrap",16.186,"Muscidifurax zaraptor","adult mortality rate"
"17","rmax",35.6127774469448,54.910340495132,"residual bootstrap",41.7508032376918,"Paracoccus marginatu","adult mortality rate"
"18","topt",16.4792001935488,19.2770540380561,"residual bootstrap",18.514,"Paracoccus marginatu","adult mortality rate"
"19","rmax",24.5690847608148,27.5618244486559,"residual bootstrap",26.4981644113383,"Rhopalosiphum maidis","adult mortality rate"
"20","topt",14.6718675649732,16.5181247262039,"residual bootstrap",15.559,"Rhopalosiphum maidis","adult mortality rate"
"21","rmax",25.5355187123375,29.8672458545465,"residual bootstrap",27.6501196172566,"Tetraneura nigriabdominalis","adult mortality rate"
"22","topt",11.08,11.4226739162997,"residual bootstrap",11.176,"Tetraneura nigriabdominalis","adult mortality rate"
"23","rmax",28.8449194775949,44.6056856935169,"residual bootstrap",36.3900425553801,"Tetranychus mcdanieli","adult mortality rate"
"24","topt",18.1958655835538,23.7681237418822,"residual bootstrap",20.764,"Tetranychus mcdanieli","adult mortality rate"
