originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor
Development rate,1/days,0,Anopheles gambiae s.s.,16,celsius,.,.
Development rate,1/days,0.04275,Anopheles gambiae s.s.,17.972,celsius,.,.
Development rate,1/days,0.05,Anopheles gambiae s.s.,20.03393939,celsius,.,.
Development rate,1/days,0.0585,Anopheles gambiae s.s.,22.008,celsius,.,.
Development rate,1/days,0.07075,Anopheles gambiae s.s.,23.98024242,celsius,.,.
Development rate,1/days,0.0995,Anopheles gambiae s.s.,28.06812121,celsius,.,.
Development rate,1/days,0.099,Anopheles gambiae s.s.,29.98836364,celsius,.,.
Development rate,1/days,0.0975,Anopheles gambiae s.s.,32.08363636,celsius,.,.
Development rate,1/days,0.08625,Anopheles gambiae s.s.,26.18363636,celsius,.,.
Development rate,1/days,0,Anopheles gambiae s.s.,34.05078788,celsius,.,.
% matured to adult,%,0.00E+00,Anopheles gambiae s.s.,16,celsius,.,.
% matured to adult,%,41.66666667,Anopheles gambiae s.s.,17.97101449,celsius,.,.
% matured to adult,%,69.79166667,Anopheles gambiae s.s.,20.08695652,celsius,.,.
% matured to adult,%,75.625,Anopheles gambiae s.s.,22.02898551,celsius,.,.
% matured to adult,%,78.75,Anopheles gambiae s.s.,24.02898551,celsius,.,.
% matured to adult,%,72.70833333,Anopheles gambiae s.s.,26.08695652,celsius,.,.
% matured to adult,%,66.25,Anopheles gambiae s.s.,28.02898551,celsius,.,.
% matured to adult,%,27.08333333,Anopheles gambiae s.s.,30,celsius,.,.
% matured to adult,%,34.58333333,Anopheles gambiae s.s.,32.02898551,celsius,.,.
% matured to adult,%,0,Anopheles gambiae s.s.,34.02898551,celsius,.,.
