originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor,stage
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,0,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,0,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,0,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,0,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),2,Anopleles gambiae s.s.,5,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),4,Anopleles gambiae s.s.,5,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),5,Anopleles gambiae s.s.,5,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),5,Anopleles gambiae s.s.,5,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),8,Anopleles gambiae s.s.,10,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),9,Anopleles gambiae s.s.,10,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),11,Anopleles gambiae s.s.,10,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),10,Anopleles gambiae s.s.,10,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),12,Anopleles gambiae s.s.,15,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),23,Anopleles gambiae s.s.,15,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),25,Anopleles gambiae s.s.,15,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),40,Anopleles gambiae s.s.,15,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),22,Anopleles gambiae s.s.,20,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),23,Anopleles gambiae s.s.,20,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),29,Anopleles gambiae s.s.,20,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),35,Anopleles gambiae s.s.,20,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),20,Anopleles gambiae s.s.,25,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),25,Anopleles gambiae s.s.,25,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),26,Anopleles gambiae s.s.,25,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),24,Anopleles gambiae s.s.,25,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),13,Anopleles gambiae s.s.,30,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),15,Anopleles gambiae s.s.,30,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),15,Anopleles gambiae s.s.,30,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),12,Anopleles gambiae s.s.,30,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),5,Anopleles gambiae s.s.,35,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),7,Anopleles gambiae s.s.,35,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),9,Anopleles gambiae s.s.,35,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),7,Anopleles gambiae s.s.,35,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),1,Anopleles gambiae s.s.,40,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),1,Anopleles gambiae s.s.,40,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),1,Anopleles gambiae s.s.,40,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),1,Anopleles gambiae s.s.,40,celsius,.,100,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,45,celsius,.,40,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,45,celsius,.,60,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,45,celsius,.,80,adult
Adult Mortality Rate,Mean survival (days),0,Anopleles gambiae s.s.,45,celsius,.,100,adult
