originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor
Fecundity,,63.125,Telenomus isis,18.06976744,celcius,B. fusca,low humidity
Fecundity,,93.125,Telenomus isis,21.04651163,celcius,B. fusca,low humidity
Fecundity,,103.75,Telenomus isis,24.02325581,celcius,B. fusca,low humidity
Fecundity,,107.5,Telenomus isis,27,celcius,B. fusca,low humidity
Fecundity,,63.125,Telenomus isis,29.97674419,celcius,B. fusca,low humidity
Fecundity,,33.75,Telenomus isis,32.02325581,celcius,B. fusca,low humidity
Fecundity,,66.25,Telenomus isis,18.06976744,celcius,B. fusca,high humidity
Fecundity,,113.125,Telenomus isis,21.04651163,celcius,B. fusca,high humidity
Fecundity,,126.25,Telenomus isis,24.02325581,celcius,B. fusca,high humidity
Fecundity,,124.375,Telenomus isis,27,celcius,B. fusca,high humidity
Fecundity,,110.625,Telenomus isis,29.97674419,celcius,B. fusca,high humidity
Fecundity,,65,Telenomus isis,32.02325581,celcius,B. fusca,high humidity
Fecundity,,38.36780988,Telenomus isis,17.96273292,celcius,S. nonagrioides,low humidity
Fecundity,,93.87739671,Telenomus isis,21.03726708,celcius,S. nonagrioides,low humidity
Fecundity,,103.4782609,Telenomus isis,24.01863354,celcius,S. nonagrioides,low humidity
Fecundity,,106.8182555,Telenomus isis,27,celcius,S. nonagrioides,low humidity
Fecundity,,42.67566838,Telenomus isis,30.07453416,celcius,S. nonagrioides,low humidity
Fecundity,,14.06319201,Telenomus isis,32.0310559,celcius,S. nonagrioides,low humidity
Fecundity,,64.10694032,Telenomus isis,17.96273292,celcius,S. nonagrioides,high humidity
Fecundity,,109.8773967,Telenomus isis,21.03726708,celcius,S. nonagrioides,high humidity
Fecundity,,120.173913,Telenomus isis,24.01863354,celcius,S. nonagrioides,high humidity
Fecundity,,123.5139076,Telenomus isis,27,celcius,S. nonagrioides,high humidity
Fecundity,,94.84958142,Telenomus isis,30.07453416,celcius,S. nonagrioides,high humidity
Fecundity,,61.36753983,Telenomus isis,32.0310559,celcius,S. nonagrioides,high humidity
Fecundity,,45.36585366,Telenomus isis,18.08550766,celcius,S. calamastis,low humidity
Fecundity,,61.62601626,Telenomus isis,21.15555871,celcius,S. calamastis,low humidity
Fecundity,,66.17886179,Telenomus isis,24.12563812,celcius,S. calamastis,low humidity
Fecundity,,69.43089431,Telenomus isis,27.09429949,celcius,S. calamastis,low humidity
Fecundity,,40.81300813,Telenomus isis,30.11542825,celcius,S. calamastis,low humidity
Fecundity,,24.55284553,Telenomus isis,32.01630743,celcius,S. calamastis,low humidity
Fecundity,,18.10110607,Telenomus isis,59.67479675,celcius,S. calamastis,high humidity
Fecundity,,21.08749291,Telenomus isis,79.18699187,celcius,S. calamastis,high humidity
Fecundity,,24.15045377,Telenomus isis,88.94308943,celcius,S. calamastis,high humidity
Fecundity,,27.20986954,Telenomus isis,95.44715447,celcius,S. calamastis,high humidity
Fecundity,,30.16576858,Telenomus isis,86.99186992,celcius,S. calamastis,high humidity
Fecundity,,32.15385706,Telenomus isis,70.73170732,celcius,S. calamastis,high humidity
