originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor,stage
Development rate,1/days,0.052631579,Helicoverpa armigera,12.27415554,celcius,.,.,Eggs
Development rate,1/days,0.073684211,Helicoverpa armigera,14.97643362,celcius,.,.,Eggs
Development rate,1/days,0.152631579,Helicoverpa armigera,17.49803614,celcius,.,.,Eggs
Development rate,1/days,0.194736842,Helicoverpa armigera,19.99214454,celcius,.,.,Eggs
Development rate,1/days,0.242105263,Helicoverpa armigera,20.02749411,celcius,.,.,Eggs
Development rate,1/days,0.305263158,Helicoverpa armigera,25.2238806,celcius,.,.,Eggs
Development rate,1/days,0.421052632,Helicoverpa armigera,27.77297722,celcius,.,.,Eggs
Development rate,1/days,0.478947368,Helicoverpa armigera,30.27886881,celcius,.,.,Eggs
Development rate,1/days,0.5,Helicoverpa armigera,32.7572663,celcius,.,.,Eggs
Development rate,1/days,0.494736842,Helicoverpa armigera,35.21602514,celcius,.,.,Eggs
Development rate,1/days,0.478947368,Helicoverpa armigera,37.89080911,celcius,.,.,Eggs
Development rate,1/days,0.005263158,Helicoverpa armigera,40,celcius,.,.,Eggs
Development rate,1/days,0.000338983,Helicoverpa armigera,12.62773723,celcius,.,.,Larvae
Development rate,1/days,0.014576271,Helicoverpa armigera,14.81751825,celcius,.,.,Larvae
Development rate,1/days,0.036949153,Helicoverpa armigera,17.44525547,celcius,.,.,Larvae
Development rate,1/days,0.042033898,Helicoverpa armigera,20.0729927,celcius,.,.,Larvae
Development rate,1/days,0.06440678,Helicoverpa armigera,25.10948905,celcius,.,.,Larvae
Development rate,1/days,0.072542373,Helicoverpa armigera,27.51824818,celcius,.,.,Larvae
Development rate,1/days,0.079661017,Helicoverpa armigera,29.9270073,celcius,.,.,Larvae
Development rate,1/days,0.097966102,Helicoverpa armigera,32.55474453,celcius,.,.,Larvae
Development rate,1/days,0.096949153,Helicoverpa armigera,34.96350365,celcius,.,.,Larvae
Development rate,1/days,0.069491525,Helicoverpa armigera,37.59124088,celcius,.,.,Larvae
Development rate,1/days,0.0004,Helicoverpa armigera,15,celcius,.,.,Pupae
Development rate,1/days,0.0424,Helicoverpa armigera,17.39130435,celcius,.,.,Pupae
Development rate,1/days,0.0472,Helicoverpa armigera,19.7826087,celcius,.,.,Pupae
Development rate,1/days,0.0808,Helicoverpa armigera,25,celcius,.,.,Pupae
Development rate,1/days,0.088,Helicoverpa armigera,27.39130435,celcius,.,.,Pupae
Development rate,1/days,0.1108,Helicoverpa armigera,30,celcius,.,.,Pupae
Development rate,1/days,0.1168,Helicoverpa armigera,32.39130435,celcius,.,.,Pupae
Development rate,1/days,0.1168,Helicoverpa armigera,35,celcius,.,.,Pupae
Development rate,1/days,0.1192,Helicoverpa armigera,37.60869565,celcius,.,.,Pupae
Development rate,1/days,5.55E-17,Helicoverpa armigera,12.39130435,celcius,.,.,Total
Development rate,1/days,5.55E-17,Helicoverpa armigera,15,celcius,.,.,Total
Development rate,1/days,0.017358491,Helicoverpa armigera,17.2026251,celcius,.,.,Total
Development rate,1/days,0.02,Helicoverpa armigera,19.7826087,celcius,.,.,Total
Development rate,1/days,0.032075472,Helicoverpa armigera,24.65135357,celcius,.,.,Total
Development rate,1/days,0.036226415,Helicoverpa armigera,26.99753897,celcius,.,.,Total
Development rate,1/days,0.041886792,Helicoverpa armigera,29.54470878,celcius,.,.,Total
Development rate,1/days,0.047924528,Helicoverpa armigera,31.87038556,celcius,.,.,Total
Development rate,1/days,0.04754717,Helicoverpa armigera,34.48318294,celcius,.,.,Total
Development rate,1/days,0.04,Helicoverpa armigera,37.17391304,celcius,.,.,Total
Development rate,1/days,0.000377358,Helicoverpa armigera,39.99589828,celcius,.,.,Total
% Survivorship,%,36.33,Helicoverpa armigera,12.5,celcius,.,.,Eggs
% Survivorship,%,43.66,Helicoverpa armigera,15,celcius,.,.,Eggs
% Survivorship,%,45.06,Helicoverpa armigera,17.5,celcius,.,.,Eggs
% Survivorship,%,51.66,Helicoverpa armigera,20,celcius,.,.,Eggs
% Survivorship,%,67.66,Helicoverpa armigera,25,celcius,.,.,Eggs
% Survivorship,%,63,Helicoverpa armigera,27.5,celcius,.,.,Eggs
% Survivorship,%,32.33,Helicoverpa armigera,30,celcius,.,.,Eggs
% Survivorship,%,32.66,Helicoverpa armigera,32.5,celcius,.,.,Eggs
% Survivorship,%,31,Helicoverpa armigera,35,celcius,.,.,Eggs
% Survivorship,%,8.3,Helicoverpa armigera,37.5,celcius,.,.,Eggs
% Survivorship,%,0,Helicoverpa armigera,40,celcius,.,.,Eggs
% Survivorship,%,0,Helicoverpa armigera,12.5,celcius,.,.,Larvae
% Survivorship,%,43.38,Helicoverpa armigera,15,celcius,.,.,Larvae
% Survivorship,%,72.46,Helicoverpa armigera,17.5,celcius,.,.,Larvae
% Survivorship,%,67.14,Helicoverpa armigera,20,celcius,.,.,Larvae
% Survivorship,%,80.82,Helicoverpa armigera,25,celcius,.,.,Larvae
% Survivorship,%,95.95,Helicoverpa armigera,27.5,celcius,.,.,Larvae
% Survivorship,%,65.17,Helicoverpa armigera,30,celcius,.,.,Larvae
% Survivorship,%,63.1,Helicoverpa armigera,32.5,celcius,.,.,Larvae
% Survivorship,%,47.67,Helicoverpa armigera,35,celcius,.,.,Larvae
% Survivorship,%,26.25,Helicoverpa armigera,37.5,celcius,.,.,Larvae
% Survivorship,%,0,Helicoverpa armigera,40,celcius,.,.,Larvae
% Survivorship,%,0,Helicoverpa armigera,12.5,celcius,.,.,Pupae
% Survivorship,%,0,Helicoverpa armigera,15,celcius,.,.,Pupae
% Survivorship,%,86,Helicoverpa armigera,17.5,celcius,.,.,Pupae
% Survivorship,%,89.36,Helicoverpa armigera,20,celcius,.,.,Pupae
% Survivorship,%,83.05,Helicoverpa armigera,25,celcius,.,.,Pupae
% Survivorship,%,92.96,Helicoverpa armigera,27.5,celcius,.,.,Pupae
% Survivorship,%,77.59,Helicoverpa armigera,30,celcius,.,.,Pupae
% Survivorship,%,56.6,Helicoverpa armigera,32.5,celcius,.,.,Pupae
% Survivorship,%,21.95,Helicoverpa armigera,35,celcius,.,.,Pupae
% Survivorship,%,14.29,Helicoverpa armigera,37.5,celcius,.,.,Pupae
% Survivorship,%,0,Helicoverpa armigera,40,celcius,.,.,Pupae
% Survivorship,%,0,Helicoverpa armigera,12.5,celcius,.,.,Total
