originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor,stage
Fecundity,number of eggs,2.657807309,Cydia pomonella,12,celsius,NA,NA,adult
Fecundity,number of eggs,2.657807309,Cydia pomonella,13,celsius,NA,NA,adult
Fecundity,number of eggs,56.47840532,Cydia pomonella,15,celsius,NA,NA,adult
Fecundity,number of eggs,144.1860465,Cydia pomonella,16,celsius,NA,NA,adult
Fecundity,number of eggs,2.657807309,Cydia pomonella,16,celsius,NA,NA,adult
Fecundity,number of eggs,142.192691,Cydia pomonella,17,celsius,NA,NA,adult
Fecundity,number of eggs,311.627907,Cydia pomonella,18,celsius,NA,NA,adult
Fecundity,number of eggs,40.53156146,Cydia pomonella,18,celsius,NA,NA,adult
Fecundity,number of eggs,845.8471761,Cydia pomonella,19,celsius,NA,NA,adult
Fecundity,number of eggs,209.9667774,Cydia pomonella,19,celsius,NA,NA,adult
Fecundity,number of eggs,403.3222591,Cydia pomonella,20,celsius,NA,NA,adult
Fecundity,number of eggs,369.4352159,Cydia pomonella,20,celsius,NA,NA,adult
Fecundity,number of eggs,235.8803987,Cydia pomonella,21,celsius,NA,NA,adult
Fecundity,number of eggs,437.2093023,Cydia pomonella,21,celsius,NA,NA,adult
Fecundity,number of eggs,508.9700997,Cydia pomonella,22,celsius,NA,NA,adult
Fecundity,number of eggs,421.2624585,Cydia pomonella,22,celsius,NA,NA,adult
Fecundity,number of eggs,325.5813953,Cydia pomonella,23,celsius,NA,NA,adult
Fecundity,number of eggs,343.5215947,Cydia pomonella,23,celsius,NA,NA,adult
Fecundity,number of eggs,116.2790698,Cydia pomonella,24,celsius,NA,NA,adult
Fecundity,number of eggs,612.6245847,Cydia pomonella,24,celsius,NA,NA,adult
Fecundity,number of eggs,166.1129568,Cydia pomonella,25,celsius,NA,NA,adult
Fecundity,number of eggs,287.7076412,Cydia pomonella,25,celsius,NA,NA,adult
Fecundity,number of eggs,104.3189369,Cydia pomonella,26,celsius,NA,NA,adult
Fecundity,number of eggs,417.2757475,Cydia pomonella,26,celsius,NA,NA,adult
Fecundity,number of eggs,38.53820598,Cydia pomonella,27,celsius,NA,NA,adult
Fecundity,number of eggs,317.6079734,Cydia pomonella,27,celsius,NA,NA,adult
Fecundity,number of eggs,32.55813953,Cydia pomonella,28,celsius,NA,NA,adult
Fecundity,number of eggs,18.60465116,Cydia pomonella,28,celsius,NA,NA,adult
Fecundity,number of eggs,28.57142857,Cydia pomonella,29,celsius,NA,NA,adult
Fecundity,number of eggs,28.57142857,Cydia pomonella,31,celsius,NA,NA,adult
Fecundity,number of eggs,0.664451827,Cydia pomonella,32,celsius,NA,NA,adult
Fecundity,number of eggs,2.657807309,Cydia pomonella,33,celsius,NA,NA,adult
