originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor,stage
Fecundity,eggs/female/week,0.898255234,Lepinotus reticulatus,22.50073198,celsius,NA,NA,adult
Fecundity,eggs/female/week,1.364697427,Lepinotus reticulatus,22.51111274,celsius,NA,NA,adult
Fecundity,eggs/female/week,2.961205233,Lepinotus reticulatus,22.52438813,celsius,NA,NA,adult
Fecundity,eggs/female/week,2.979145317,Lepinotus reticulatus,22.52478739,celsius,NA,NA,adult
Fecundity,eggs/female/week,1.831086387,Lepinotus reticulatus,25.01407392,celsius,NA,NA,adult
Fecundity,eggs/female/week,3.696855162,Lepinotus reticulatus,25.05559696,celsius,NA,NA,adult
Fecundity,eggs/female/week,4.0019963,Lepinotus reticulatus,25.08464313,celsius,NA,NA,adult
Fecundity,eggs/female/week,4.48605917,Lepinotus reticulatus,25.05090565,celsius,NA,NA,adult
Fecundity,eggs/female/week,2.961577876,Lepinotus reticulatus,27.57632521,celsius,NA,NA,adult
Fecundity,eggs/female/week,3.786821757,Lepinotus reticulatus,27.59469117,celsius,NA,NA,adult
Fecundity,eggs/female/week,5.652271124,Lepinotus reticulatus,27.59169672,celsius,NA,NA,adult
Fecundity,eggs/female/week,5.741971546,Lepinotus reticulatus,27.59369302,celsius,NA,NA,adult
Fecundity,eggs/female/week,2.728463248,Lepinotus reticulatus,30.08597399,celsius,NA,NA,adult
Fecundity,eggs/female/week,4.199550167,Lepinotus reticulatus,30.11871332,celsius,NA,NA,adult
Fecundity,eggs/female/week,6.54970122,Lepinotus reticulatus,30.17101638,celsius,NA,NA,adult
Fecundity,eggs/female/week,6.764982233,Lepinotus reticulatus,30.1758075,celsius,NA,NA,adult
Fecundity,eggs/female/week,3.732895035,Lepinotus reticulatus,32.57865423,celsius,NA,NA,adult
Fecundity,eggs/female/week,5.006960433,Lepinotus reticulatus,32.65151918,celsius,NA,NA,adult
Fecundity,eggs/female/week,7.392831951,Lepinotus reticulatus,32.68236202,celsius,NA,NA,adult
Fecundity,eggs/female/week,7.53651233,Lepinotus reticulatus,32.70781485,celsius,NA,NA,adult
Fecundity,eggs/female/week,4.038302346,Lepinotus reticulatus,35.14479831,celsius,NA,NA,adult
Fecundity,eggs/female/week,4.952927242,Lepinotus reticulatus,35.12064307,celsius,NA,NA,adult
Fecundity,eggs/female/week,5.634810152,Lepinotus reticulatus,35.1580737,celsius,NA,NA,adult
Fecundity,eggs/female/week,5.760231038,Lepinotus reticulatus,35.13860978,celsius,NA,NA,adult
