curve_ID,species,standardisedtraitname,temp,z,zLwr,zUpr
1,Culex pipiens,z,0,16338322178486904e13,43680610292848665e12,0.05744369515972604
1,Culex pipiens,z,0.04504504504504504,13173541252064658e13,35367994459445105e12,0.05713502779153937
1,Culex pipiens,z,0.09009009009009009,10622541715854085e13,28639299856920873e12,0.05682812423053529
1,Culex pipiens,z,0.13513513513513514,8566140022673447e13,2319234008935915e13,0.05652297391615692
1,Culex pipiens,z,0.18018018018018017,6908323908774053e13,18782653277529632e12,0.05621956635531013
1,Culex pipiens,z,0.2252252252252252,5571742007550732e13,1521246156793138e13,0.055917891121922386
1,Culex pipiens,z,0.2702702702702703,4494072497804241e13,12321744898903853e12,0.05561793785651198
1,Culex pipiens,z,0.3153153153153153,362509926230239e14,9981023639136757e12,0.05531969626575184
1,Culex pipiens,z,0.36036036036036034,29243575422455915e12,8085522538592913e12,0.055023156122045856
1,Culex pipiens,z,0.4054054054054054,2359238028300322e13,6550451296803148e12,0.054728307263099164
1,Culex pipiens,z,0.4504504504504504,1903460013269115e13,5307187839109023e12,0.05443513959149882
1,Culex pipiens,z,0.4954954954954955,15358416767055436e12,4300191420580216e12,0.05414364307429209
1,Culex pipiens,z,0.5405405405405406,12393096078398603e12,34845058273806584e11,0.053853807742572986
1,Culex pipiens,z,0.5855855855855856,10001009669184249e12,2823739730765834e12,0.053565623691065246
1,Culex pipiens,z,0.6306306306306306,8071207730363708e12,22884328935032408e11,0.05327908107771583
1,Culex pipiens,z,0.6756756756756757,6514241199699882e12,1854734419878403e12,0.052994170123284064
1,Culex pipiens,z,0.7207207207207207,5257990074186559e12,15033333767897348e11,0.05271088111094
1,Culex pipiens,z,0.7657657657657657,4244302123367475e12,12185935388264585e11,0.05242920438586162
1,Culex pipiens,z,0.8108108108108107,3426284381654392e12,9878532453777182e11,0.05214913035483504
1,Culex pipiens,z,0.8558558558558558,27661204922075053e11,8008588230096274e11,0.0518706494858615
1,Culex pipiens,z,0.9009009009009008,22333116848854385e11,6493060612512996e11,0.051593752307761635
1,Culex pipiens,z,0.9459459459459459,18032590644908187e11,52646910894683e13,0.05131842940978748
1,Culex pipiens,z,0.990990990990991,14561209027168392e11,4269001030716463e11,0.051044671441233695
1,Culex pipiens,z,1.036036036036036,11758915243263355e11,3461860315538034e11,0.050772469111054694
1,Culex pipiens,z,1.0810810810810811,9496587635347904e11,28075191086516115e10,0.05050181318748098
1,Culex pipiens,z,1.1261261261261262,7670053301603026e11,2277014449452531e11,0.05023269449764287
1,Culex pipiens,z,1.1711711711711712,6195261608523811e11,1846880188816498e11,0.04996510392719124
1,Culex pipiens,z,1.2162162162162162,5004392559181248e11,14981024511437383e10,0.049699032419927264
1,Culex pipiens,z,1.2612612612612613,40427187214436384e10,12152738347596526e10,0.04943447097742864
1,Culex pipiens,z,1.3063063063063063,3266074621722769e11,9859084905787224e10,0.0491714106586845
1,Culex pipiens,z,1.3513513513513513,2638815867867327e11,7998874403337345e10,0.04890984257972785
1,Culex pipiens,z,1.3963963963963963,21321731118673088e10,64900933800605105e9,0.04864975791327427
1,Culex pipiens,z,1.4414414414414414,17229243710336434e10,5266266049599748e10,0.04839114788836063
1,Culex pipiens,z,1.4864864864864864,13923240590058718e10,4273506939816503e10,0.048134003789989194
1,Culex pipiens,z,1.5315315315315314,11252390304495759e10,3468133323155498e10,0.04787831695877206
1,Culex pipiens,z,1.5765765765765765,9094515756660113e10,28147309833430666e9,0.04762407879057807
1,Culex pipiens,z,1.6216216216216215,7350970644125562e10,228458713402823e11,0.04737128073618515
1,Culex pipiens,z,1.6666666666666665,5942101952427771e10,18544207100628055e9,0.04711991430093106
1,Culex pipiens,z,1.7117117117117115,4803588501723686e10,15053535306707859e9,0.046869971044370955
1,Culex pipiens,z,1.7567567567567566,3883486200651046e10,12220765822770916e9,0.04662144257993353
1,Culex pipiens,z,1.8018018018018016,3139843436936128e10,992174370029326e10,0.04637432057458327
1,Culex pipiens,z,1.8468468468468469,25387764585578913e9,8055773313728657e9,0.04612859674848183
1,Culex pipiens,z,1.8918918918918919,20529159047517325e9,6541180084289613e9,0.04588426287465487
1,Culex pipiens,z,1.936936936936937,1660152825393317e10,5311712938840917e9,0.04564131077865861
1,Culex pipiens,z,1.981981981981982,13426263806082595e9,4313628045082268e9,0.04539973233825204
1,Culex pipiens,z,2.0270270270270268,1085906584371695e10,3503324645878059e9,0.04515951948306765
1,Culex pipiens,z,2.072072072072072,8783344661281068e9,2845428339677598e9,0.044920664194288994
1,Culex pipiens,z,2.117117117117117,7104892917484872e9,23112370162299094e8,0.04468315850432587
