"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",128.723305151816,213.633752077982,"residual bootstrap",177.351968636628,"Culex pipiens","adult mortality rate"
"2","topt",16.711,16.850969468464,"residual bootstrap",16.817,"Culex pipiens","adult mortality rate"
"3","ctmin",15.3340917268884,15.468,"residual bootstrap",15.338,"Culex pipiens","adult mortality rate"
"4","ctmax",31.018,41.7554871422073,"residual bootstrap",35.657,"Culex pipiens","adult mortality rate"
"5","thermal_safety_margin",13.2929663982189,26.0263178070634,"residual bootstrap",18.84,"Culex pipiens","adult mortality rate"
"6","thermal_tolerance",16.339,26.7030410440543,"residual bootstrap",20.319,"Culex pipiens","adult mortality rate"
"7","breadth",1.847,2.44394232279442,"residual bootstrap",2.139,"Culex pipiens","adult mortality rate"
"8","r_tref",179.28097978811,771.857757934436,"residual bootstrap",253.010570784209,"Culex pipiens","adult mortality rate"
"9","e",-2.45969970789632,-0.941227484475747,"residual bootstrap",-1.24782894546249,"Culex pipiens","adult mortality rate"
"10","eh",-32.5951460440673,-31.0134552422438,"residual bootstrap",-31.4577177618212,"Culex pipiens","adult mortality rate"
"11","rmax",9.73818098999793,10.4452888204971,"residual bootstrap",9.9801786811426,"Plutella xylostella","adult mortality rate"
"12","topt",13.487,14.7530283084991,"residual bootstrap",14.09,"Plutella xylostella","adult mortality rate"
"13","ctmin",-20.2433221534082,-0.301358904220658,"residual bootstrap",-10.254,"Plutella xylostella","adult mortality rate"
"14","ctmax",53.9144595968969,71.7925171826352,"residual bootstrap",60.644,"Plutella xylostella","adult mortality rate"
"15","thermal_safety_margin",39.0361981281909,57.8086064822039,"residual bootstrap",46.554,"Plutella xylostella","adult mortality rate"
"16","thermal_tolerance",65.5870703327837,76.4368476068843,"residual bootstrap",70.898,"Plutella xylostella","adult mortality rate"
"17","breadth",9.50382697154273,11.6512160758372,"residual bootstrap",10.741,"Plutella xylostella","adult mortality rate"
"18","r_tref",17.8467769134873,76.070728121008,"residual bootstrap",31.4515747129874,"Plutella xylostella","adult mortality rate"
"19","e",0.51320865507753,1.77395241775733,"residual bootstrap",1.070622191178,"Plutella xylostella","adult mortality rate"
"20","eh",1.34944749015298,2.34208314337282,"residual bootstrap",1.68273316054642,"Plutella xylostella","adult mortality rate"
"21","rmax",11.5820736427964,16.9497333161816,"residual bootstrap",15.6069535624455,"Muscidifurax zaraptor","adult mortality rate"
"22","topt",15.9289746626622,16.831285003141,"residual bootstrap",16.185,"Muscidifurax zaraptor","adult mortality rate"
"23","ctmin",12.95,14.3278705321216,"residual bootstrap",14.11,"Muscidifurax zaraptor","adult mortality rate"
"24","ctmax",46.958,66.0352439646841,"residual bootstrap",54.68,"Muscidifurax zaraptor","adult mortality rate"
"25","thermal_safety_margin",30.608,49.6084952200755,"residual bootstrap",38.495,"Muscidifurax zaraptor","adult mortality rate"
"26","thermal_tolerance",32.781,52.4484602461166,"residual bootstrap",40.57,"Muscidifurax zaraptor","adult mortality rate"
"27","breadth",3.052,4.77323341689528,"residual bootstrap",3.72,"Muscidifurax zaraptor","adult mortality rate"
"28","r_tref",9.99140628100951,16.0583340494509,"residual bootstrap",13.5424126024011,"Muscidifurax zaraptor","adult mortality rate"
"29","e",2.20069154103197,28.9303869346189,"residual bootstrap",22.6127850272186,"Muscidifurax zaraptor","adult mortality rate"
"30","eh",3.12841478471016,29.6922233051806,"residual bootstrap",23.2562870008549,"Muscidifurax zaraptor","adult mortality rate"
"31","rmax",29.1823395685619,32.1033406755448,"residual bootstrap",31.2574578400681,"Aphis nasturtii","adult mortality rate"
"32","topt",15.6840743371049,16.9129183549902,"residual bootstrap",16.351,"Aphis nasturtii","adult mortality rate"
"33","ctmin",1.21175439127294,4.7229166876447,"residual bootstrap",3.285,"Aphis nasturtii","adult mortality rate"
"34","ctmax",44.8230339382623,53.1509458129221,"residual bootstrap",49.95,"Aphis nasturtii","adult mortality rate"
"35","thermal_safety_margin",28.4430043415801,37.5511985558862,"residual bootstrap",33.599,"Aphis nasturtii","adult mortality rate"
"36","thermal_tolerance",42.6214055215276,49.7243691695469,"residual bootstrap",46.665,"Aphis nasturtii","adult mortality rate"
"37","breadth",7.1602581971095,8.23271051418161,"residual bootstrap",7.611,"Aphis nasturtii","adult mortality rate"
"38","r_tref",57.3498234445093,125.259988977579,"residual bootstrap",79.302700136633,"Aphis nasturtii","adult mortality rate"
"39","e",1.88044587018943,2.92853059498347,"residual bootstrap",2.29808317562078,"Aphis nasturtii","adult mortality rate"
"40","eh",2.77321413331788,3.72974921290297,"residual bootstrap",3.08847139923532,"Aphis nasturtii","adult mortality rate"
"41","rmax",24.6639229526947,27.5508139326521,"residual bootstrap",26.5213640091147,"Rhopalosiphum maidis","adult mortality rate"
"42","topt",14.5138530796828,16.4406582900369,"residual bootstrap",15.557,"Rhopalosiphum maidis","adult mortality rate"
"43","ctmin",-21.6664033390191,-7.00595328112477,"residual bootstrap",-12.452,"Rhopalosiphum maidis","adult mortality rate"
"44","ctmax",38.7124521197955,47.1575716591013,"residual bootstrap",43.121,"Rhopalosiphum maidis","adult mortality rate"
"45","thermal_safety_margin",22.9309551009232,32.4013398483289,"residual bootstrap",27.564,"Rhopalosiphum maidis","adult mortality rate"
"46","thermal_tolerance",51.1826721095336,61.8258334994346,"residual bootstrap",55.573,"Rhopalosiphum maidis","adult mortality rate"
"47","breadth",9.61697645358803,11.6957289473749,"residual bootstrap",10.519,"Rhopalosiphum maidis","adult mortality rate"
"48","r_tref",48.5637967000422,139.893650661586,"residual bootstrap",67.3283533239943,"Rhopalosiphum maidis","adult mortality rate"
"49","e",-1.53159845800542,-0.908618824881283,"residual bootstrap",-1.09718668745249,"Rhopalosiphum maidis","adult mortality rate"
"50","eh",-2.13935029431996,-1.76811384709625,"residual bootstrap",-1.92126672135106,"Rhopalosiphum maidis","adult mortality rate"
"51","rmax",27.8170638540484,35.1210136472069,"residual bootstrap",31.0461483032678,"Anopheles gambiae","adult mortality rate"
"52","topt",17.4300645618866,20.8952009180728,"residual bootstrap",19.005,"Anopheles gambiae","adult mortality rate"
"53","ctmin",-4.62411511920791,5.83172799151842,"residual bootstrap",1.744,"Anopheles gambiae","adult mortality rate"
"54","ctmax",44.8337203409325,77.1530374161304,"residual bootstrap",52.526,"Anopheles gambiae","adult mortality rate"
"55","thermal_safety_margin",25.4537293188065,59.1032491725414,"residual bootstrap",33.521,"Anopheles gambiae","adult mortality rate"
"56","thermal_tolerance",41.8794105455517,69.2516096692295,"residual bootstrap",50.782,"Anopheles gambiae","adult mortality rate"
"57","breadth",7.39159356807483,10.7792009240834,"residual bootstrap",8.806,"Anopheles gambiae","adult mortality rate"
"58","r_tref",46.3945514220662,221.380617830066,"residual bootstrap",74.2713783042208,"Anopheles gambiae","adult mortality rate"
"59","e",-1.32912660575169,-0.54020252681559,"residual bootstrap",-0.833812314538819,"Anopheles gambiae","adult mortality rate"
"60","eh",-3.18609842258636,-1.99596738779118,"residual bootstrap",-2.46906616725616,"Anopheles gambiae","adult mortality rate"
"61","rmax",119.895262028054,165.927712159216,"residual bootstrap",143.239763020535,"Anoplophora glabripennis","adult mortality rate"
"62","topt",6.39909083455423,13.6423335789266,"residual bootstrap",12.132,"Anoplophora glabripennis","adult mortality rate"
"63","ctmin",-4.32471260465499,4.4660542306168,"residual bootstrap",-0.549999999999997,"Anoplophora glabripennis","adult mortality rate"
"64","ctmax",45.6208938823884,83.4488515038128,"residual bootstrap",60.282,"Anoplophora glabripennis","adult mortality rate"
"65","thermal_safety_margin",32.0709752047858,73.5727732265464,"residual bootstrap",48.15,"Anoplophora glabripennis","adult mortality rate"
"66","thermal_tolerance",46.6932847729716,82.1729804443498,"residual bootstrap",60.832,"Anoplophora glabripennis","adult mortality rate"
"67","breadth",5.88566666859053,10.6291822168551,"residual bootstrap",8.708,"Anoplophora glabripennis","adult mortality rate"
"68","r_tref",101.698562111828,195.954312084137,"residual bootstrap",140.114973553435,"Anoplophora glabripennis","adult mortality rate"
"69","e",-0.865855755065067,-0.33380658366593,"residual bootstrap",-0.543926285129004,"Anoplophora glabripennis","adult mortality rate"
"70","eh",-19.0836847804149,-2.19078779703517,"residual bootstrap",-3.02716596434939,"Anoplophora glabripennis","adult mortality rate"
"71","rmax",17.9526320288637,21.3207019536638,"residual bootstrap",19.4836673022998,"Helicoverpa armigera","adult mortality rate"
"72","topt",17.5,28.0948407715667,"residual bootstrap",26.131,"Helicoverpa armigera","adult mortality rate"
"73","ctmin",-30.088,-15.002,"residual bootstrap",-Inf,"Helicoverpa armigera","adult mortality rate"
"74","ctmax",33.7774557752418,40.6135517013536,"residual bootstrap",35.549,"Helicoverpa armigera","adult mortality rate"
"75","thermal_safety_margin",6.25754593984534,18.7896057154738,"residual bootstrap",9.418,"Helicoverpa armigera","adult mortality rate"
"76","thermal_tolerance",55.652,67.683,"residual bootstrap",Inf,"Helicoverpa armigera","adult mortality rate"
"77","breadth",10.6590539176015,13.8564608239845,"residual bootstrap",12.712,"Helicoverpa armigera","adult mortality rate"
"78","r_tref",14.6572579701172,19.5830777059099,"residual bootstrap",17.7129177854436,"Helicoverpa armigera","adult mortality rate"
"79","e",2.63806517621401e-05,0.284091901345031,"residual bootstrap",0.0711353966796295,"Helicoverpa armigera","adult mortality rate"
"80","eh",3.41465920261111,12.3907062952193,"residual bootstrap",6.36628254545903,"Helicoverpa armigera","adult mortality rate"
"81","rmax",61.1577255787944,74.579007724599,"residual bootstrap",68.179421692454,"Aedes albopictus","adult mortality rate"
"82","topt",25.3865440685729,27.7480009546426,"residual bootstrap",26.538,"Aedes albopictus","adult mortality rate"
"83","ctmin",-7.681,5.26577940462651,"residual bootstrap",0.801000000000002,"Aedes albopictus","adult mortality rate"
"84","ctmax",37.8009350194737,47.0848084095209,"residual bootstrap",40.722,"Aedes albopictus","adult mortality rate"
"85","thermal_safety_margin",10.7308126416445,22.4363534802584,"residual bootstrap",14.184,"Aedes albopictus","adult mortality rate"
"86","thermal_tolerance",35.2449901024856,46.3953211433283,"residual bootstrap",39.921,"Aedes albopictus","adult mortality rate"
"87","breadth",6.45637416651188,8.60094236837588,"residual bootstrap",7.315,"Aedes albopictus","adult mortality rate"
"88","r_tref",1299.74540970599,211113.133674963,"residual bootstrap",11383.2006011906,"Aedes albopictus","adult mortality rate"
"89","e",-3.64705969209086,-1.44413878471942,"residual bootstrap",-2.45820986122118,"Aedes albopictus","adult mortality rate"
"90","eh",-4.4960200786919,-2.67770446007033,"residual bootstrap",-3.36980982602575,"Aedes albopictus","adult mortality rate"
"91","rmax",10.8407424157105,12.3626119636152,"residual bootstrap",11.7502409372122,"Trichogramma bruni","adult mortality rate"
"92","topt",16.3057246108515,18.1181530939096,"residual bootstrap",17.176,"Trichogramma bruni","adult mortality rate"
"93","ctmin",-36.6285715316052,-9.12964386782127,"residual bootstrap",-18.454,"Trichogramma bruni","adult mortality rate"
"94","ctmax",33.846225288595,39.5811606978991,"residual bootstrap",36.892,"Trichogramma bruni","adult mortality rate"
"95","thermal_safety_margin",15.9394503407415,23.1335882519993,"residual bootstrap",19.716,"Trichogramma bruni","adult mortality rate"
"96","thermal_tolerance",46.496988718302,71.634366716503,"residual bootstrap",55.346,"Trichogramma bruni","adult mortality rate"
"97","breadth",8.78107251002082,12.4738294592254,"residual bootstrap",10.149,"Trichogramma bruni","adult mortality rate"
"98","r_tref",11.1384613023367,16.0496776245225,"residual bootstrap",13.2209034252277,"Trichogramma bruni","adult mortality rate"
"99","e",0.362800775864904,0.960824800760219,"residual bootstrap",0.588867254820642,"Trichogramma bruni","adult mortality rate"
"100","eh",2.06413599760157,2.69302677918183,"residual bootstrap",2.30104214978281,"Trichogramma bruni","adult mortality rate"
"101","rmax",19.3902985503479,23.9501104109033,"residual bootstrap",22.1098803266209,"Trichogramma sp. nr. Lutea","adult mortality rate"
"102","topt",16.3291995593401,20.2073804702175,"residual bootstrap",17.833,"Trichogramma sp. nr. Lutea","adult mortality rate"
"103","ctmin",-39.542,-9.08218194717727,"residual bootstrap",-25.379,"Trichogramma sp. nr. Lutea","adult mortality rate"
"104","ctmax",28.2585621831625,37.273450928773,"residual bootstrap",32.6,"Trichogramma sp. nr. Lutea","adult mortality rate"
"105","thermal_safety_margin",8.44573013668867,20.928418816041,"residual bootstrap",14.767,"Trichogramma sp. nr. Lutea","adult mortality rate"
"106","thermal_tolerance",43.3060766886272,75.2340710490379,"residual bootstrap",57.979,"Trichogramma sp. nr. Lutea","adult mortality rate"
"107","breadth",7.59247344167788,12.4865773130109,"residual bootstrap",9.816,"Trichogramma sp. nr. Lutea","adult mortality rate"
"108","r_tref",98.5126843458808,26264.6339607961,"residual bootstrap",389.115563668709,"Trichogramma sp. nr. Lutea","adult mortality rate"
"109","e",-5.62798100539229,-1.65089464769566,"residual bootstrap",-2.52266776922778,"Trichogramma sp. nr. Lutea","adult mortality rate"
"110","eh",-5.77587423222137,-2.31277887207847,"residual bootstrap",-2.97739941776969,"Trichogramma sp. nr. Lutea","adult mortality rate"
"111","rmax",37.9525179312264,51.1437485835889,"residual bootstrap",46.3815806049089,"Paracoccus marginatus","adult mortality rate"
"112","topt",15.5599179145861,18.1183369815151,"residual bootstrap",15.835,"Paracoccus marginatus","adult mortality rate"
"113","ctmin",-7.61035295990838,14.3945382827074,"residual bootstrap",14.033,"Paracoccus marginatus","adult mortality rate"
"114","ctmax",45.9533832465638,72.4300752863434,"residual bootstrap",62.059,"Paracoccus marginatus","adult mortality rate"
"115","thermal_safety_margin",31.0621532614218,56.8268839026202,"residual bootstrap",46.224,"Paracoccus marginatus","adult mortality rate"
"116","thermal_tolerance",37.718,56.1606393222186,"residual bootstrap",48.026,"Paracoccus marginatus","adult mortality rate"
"117","breadth",3.381,6.31547514710885,"residual bootstrap",4.024,"Paracoccus marginatus","adult mortality rate"
"118","r_tref",43.0364562580958,56.8639968258624,"residual bootstrap",50.4044112757526,"Paracoccus marginatus","adult mortality rate"
"119","e",-0.857243353227172,-0.446135691193226,"residual bootstrap",-0.545317493131124,"Paracoccus marginatus","adult mortality rate"
"120","eh",-43.2588069368783,-2.47050898671443,"residual bootstrap",-27.9039970943574,"Paracoccus marginatus","adult mortality rate"
"121","rmax",156.582699212011,241.098052790137,"residual bootstrap",164.651644878766,"Thrips hawaiiensis","adult mortality rate"
"122","topt",13.0541058452981,16.0791547088121,"residual bootstrap",15.314,"Thrips hawaiiensis","adult mortality rate"
"123","ctmin",3.45301536891596,11.1031744099714,"residual bootstrap",6.491,"Thrips hawaiiensis","adult mortality rate"
"124","ctmax",37.4598946639642,44.8961433743911,"residual bootstrap",40.529,"Thrips hawaiiensis","adult mortality rate"
"125","thermal_safety_margin",21.6781335848076,29.7741092481177,"residual bootstrap",25.215,"Thrips hawaiiensis","adult mortality rate"
"126","thermal_tolerance",29.8347767228648,37.7487431829648,"residual bootstrap",34.038,"Thrips hawaiiensis","adult mortality rate"
"127","breadth",2.76384771733828,6.19738043425526,"residual bootstrap",5.447,"Thrips hawaiiensis","adult mortality rate"
"128","r_tref",189.759560832158,315.429928208622,"residual bootstrap",220.84172020852,"Thrips hawaiiensis","adult mortality rate"
"129","e",-1.2219214519514,-0.810059302858375,"residual bootstrap",-1.00498673007065,"Thrips hawaiiensis","adult mortality rate"
"130","eh",-24.3138796684081,-3.43824900043494,"residual bootstrap",-4.5506403733383,"Thrips hawaiiensis","adult mortality rate"
"131","rmax",29.4488005947621,41.1581047157949,"residual bootstrap",34.3875332968002,"Aedes aegypti","adult mortality rate"
"132","topt",22.603404850679,28.576804310995,"residual bootstrap",26.572,"Aedes aegypti","adult mortality rate"
"133","ctmin",-38.55,-7.87321601024205,"residual bootstrap",-21.505,"Aedes aegypti","adult mortality rate"
"134","ctmax",37.9022824044927,80.3566686720555,"residual bootstrap",43.804,"Aedes aegypti","adult mortality rate"
