"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",43.056221607817,53.7644112576029,"residual bootstrap",48.1020809416581,"Aedes aegypti","juvenile mortality rate"
"2","topt",13.0901740867334,16.2685657362142,"residual bootstrap",14.901,"Aedes aegypti","juvenile mortality rate"
"3","rmax",71.5327693688164,111.402499022169,"residual bootstrap",86.3948736262145,"Aedes albopictus","juvenile mortality rate"
"4","topt",15.7745987810399,17.565,"residual bootstrap",16.63,"Aedes albopictus","juvenile mortality rate"
"5","rmax",69.2188083409513,85.2022352937429,"residual bootstrap",77.7503261716756,"Anopheles gambiae s.s.","juvenile mortality rate"
"6","topt",20.8537609949119,22.1737924407025,"residual bootstrap",21.445,"Anopheles gambiae s.s.","juvenile mortality rate"
"7","rmax",72.3691773040424,109.954850601343,"residual bootstrap",86.5680738911519,"Anthonomus grandis","juvenile mortality rate"
"8","topt",15.5341787329628,16.975,"residual bootstrap",16.26,"Anthonomus grandis","juvenile mortality rate"
"9","rmax",188.859773576185,274.781627114523,"residual bootstrap",223.583656231773,"Aphis gossypii","juvenile mortality rate"
"10","topt",30.8499407393669,32.5926504418457,"residual bootstrap",31.555,"Aphis gossypii","juvenile mortality rate"
"11","rmax",973.585127645721,1476.33332318538,"residual bootstrap",973.658353150449,"Aphis nasturtii","juvenile mortality rate"
"12","topt",16.96,17.263,"residual bootstrap",16.96,"Aphis nasturtii","juvenile mortality rate"
"13","rmax",61.1357966921382,85.9351233341367,"residual bootstrap",74.2723618680502,"Bemisia tabaci","juvenile mortality rate"
"14","topt",16,23.9558041831039,"residual bootstrap",20.458,"Bemisia tabaci","juvenile mortality rate"
"15","rmax",425.116680559301,521.267234137613,"residual bootstrap",467.512479637357,"Muscidifurax zaraptor","juvenile mortality rate"
"16","topt",25.6809848394507,27.2917266907024,"residual bootstrap",26.397,"Muscidifurax zaraptor","juvenile mortality rate"
"17","rmax",189.905361426522,193.018228962,"residual bootstrap",191.713099100788,"Paracoccus marginatu","juvenile mortality rate"
"18","topt",18.6178419194199,19.159,"residual bootstrap",18.866,"Paracoccus marginatu","juvenile mortality rate"
"19","rmax",65.3641389469443,171.846941188133,"residual bootstrap",141.226480825605,"Rhopalosiphum maidis","juvenile mortality rate"
"20","topt",24.681478419043,27.6970706714803,"residual bootstrap",26.608,"Rhopalosiphum maidis","juvenile mortality rate"
"21","rmax",88.4712597623332,121.328220351018,"residual bootstrap",104.379182575894,"Stethorus punctillum","juvenile mortality rate"
"22","topt",14.4549209996681,16.2575185706571,"residual bootstrap",15.238,"Stethorus punctillum","juvenile mortality rate"
"23","rmax",114.801637378586,166.987244413895,"residual bootstrap",136.017838105302,"Telenomus isis","juvenile mortality rate"
"24","topt",18.4480457008503,19.674,"residual bootstrap",18.955,"Telenomus isis","juvenile mortality rate"
"25","rmax",1820.02712434172,4000.62481457713,"residual bootstrap",2963.17217664558,"Tetraneura nigriabdominalis","juvenile mortality rate"
"26","topt",27.4768696576032,28.263,"residual bootstrap",27.829,"Tetraneura nigriabdominalis","juvenile mortality rate"
"27","rmax",80.3693512955691,141.522158693682,"residual bootstrap",108.539394292399,"Tetranychus mcdanieli","juvenile mortality rate"
"28","topt",16.9482000297808,19.025209854566,"residual bootstrap",17.82637398,"Tetranychus mcdanieli","juvenile mortality rate"
