"","param","conf_lower","conf_upper","method","estimate","species","trait"
"1","rmax",31.8942773863404,35.7214500843482,"residual bootstrap",33.9480570598985,"Thrips hawaiiensis","juvenile mortality rate"
"2","topt",21.0827545296279,22.1450608301235,"residual bootstrap",21.612,"Thrips hawaiiensis","juvenile mortality rate"
"3","ctmin",-1.54502452125872,3.7028639500498,"residual bootstrap",1.551,"Thrips hawaiiensis","juvenile mortality rate"
"4","ctmax",36.5755574730652,40.7581916142487,"residual bootstrap",38.43,"Thrips hawaiiensis","juvenile mortality rate"
"5","thermal_safety_margin",14.558765082148,19.1560004225774,"residual bootstrap",16.818,"Thrips hawaiiensis","juvenile mortality rate"
"6","thermal_tolerance",34.512707002343,41.1142785452459,"residual bootstrap",36.879,"Thrips hawaiiensis","juvenile mortality rate"
"7","breadth",6.574,7.788,"residual bootstrap",6.98,"Thrips hawaiiensis","juvenile mortality rate"
"8","r_tref",17.2804475745683,20.6363407546576,"residual bootstrap",18.7413605631697,"Thrips hawaiiensis","juvenile mortality rate"
"9","e",1.00764771112928,1.46959730884461,"residual bootstrap",1.2199734640288,"Thrips hawaiiensis","juvenile mortality rate"
"10","eh",2.79633880124172,3.31909762339276,"residual bootstrap",3.06414615584489,"Thrips hawaiiensis","juvenile mortality rate"
"11","rmax",66.5698435147803,114.236057126947,"residual bootstrap",77.7954321940704,"Bemisia tabaci","juvenile mortality rate"
"12","topt",16.8756613316671,21.3141397424706,"residual bootstrap",18.811,"Bemisia tabaci","juvenile mortality rate"
"13","ctmin",-8.54397524447885,14.2738136481704,"residual bootstrap",5.778,"Bemisia tabaci","juvenile mortality rate"
"14","ctmax",45.3448958741005,79.369332904054,"residual bootstrap",59.048,"Bemisia tabaci","juvenile mortality rate"
"15","thermal_safety_margin",24.6609161568557,62.0126819818097,"residual bootstrap",40.237,"Bemisia tabaci","juvenile mortality rate"
"16","thermal_tolerance",41.0074590768355,75.8417206079387,"residual bootstrap",53.27,"Bemisia tabaci","juvenile mortality rate"
"17","breadth",4.30470474223256,11.7800633029087,"residual bootstrap",8.191,"Bemisia tabaci","juvenile mortality rate"
"18","r_tref",57.6214813082785,5304.68191930059,"residual bootstrap",99.9600132302935,"Bemisia tabaci","juvenile mortality rate"
"19","e",1.05779200227266,17.2043241496046,"residual bootstrap",2.43092848059918,"Bemisia tabaci","juvenile mortality rate"
"20","eh",2.00051329806534,16.7981582666919,"residual bootstrap",3.10430740173084,"Bemisia tabaci","juvenile mortality rate"
"21","rmax",83.9405374827742,121.183901069159,"residual bootstrap",107.19904963556,"Tetraneura nigriabdominalis","juvenile mortality rate"
"22","topt",25.8566254045705,33.3171802909437,"residual bootstrap",33.051,"Tetraneura nigriabdominalis","juvenile mortality rate"
"23","ctmin",-38.793,-15.293,"residual bootstrap",-Inf,"Tetraneura nigriabdominalis","juvenile mortality rate"
"24","ctmax",32.5306137266187,39.1979687363521,"residual bootstrap",35.222,"Tetraneura nigriabdominalis","juvenile mortality rate"
"25","thermal_safety_margin",0.948327883622518,13.0428706415574,"residual bootstrap",2.171,"Tetraneura nigriabdominalis","juvenile mortality rate"
"26","thermal_tolerance",51.176,76.378,"residual bootstrap",Inf,"Tetraneura nigriabdominalis","juvenile mortality rate"
"27","breadth",6.46381503787558,17.9097020285654,"residual bootstrap",9.982,"Tetraneura nigriabdominalis","juvenile mortality rate"
"28","r_tref",43.9531200397438,73.476942089861,"residual bootstrap",66.9408165788964,"Tetraneura nigriabdominalis","juvenile mortality rate"
"29","e",0.0891432335810502,0.415426826948433,"residual bootstrap",0.201231533512852,"Tetraneura nigriabdominalis","juvenile mortality rate"
"30","eh",5.49996117726007,82.4089132898241,"residual bootstrap",30.0276431683818,"Tetraneura nigriabdominalis","juvenile mortality rate"
"31","rmax",53.9649787103636,67.4738980106685,"residual bootstrap",60.845487352935,"Stethorus punctillum","juvenile mortality rate"
"32","topt",14.8518259584625,18.0056595453201,"residual bootstrap",16.481,"Stethorus punctillum","juvenile mortality rate"
"33","ctmin",-31.8214251559586,6.68209140946472,"residual bootstrap",-0.390999999999998,"Stethorus punctillum","juvenile mortality rate"
"34","ctmax",40.1554633579099,62.3577866920485,"residual bootstrap",48.029,"Stethorus punctillum","juvenile mortality rate"
"35","thermal_safety_margin",23.1494885627582,47.3012558592631,"residual bootstrap",31.548,"Stethorus punctillum","juvenile mortality rate"
"36","thermal_tolerance",41.4423359027044,71.7668281690688,"residual bootstrap",48.42,"Stethorus punctillum","juvenile mortality rate"
"37","breadth",6.57571745865509,11.5349671980033,"residual bootstrap",8.526,"Stethorus punctillum","juvenile mortality rate"
"38","r_tref",71.3778710181725,2230.64012739335,"residual bootstrap",125.078685978902,"Stethorus punctillum","juvenile mortality rate"
"39","e",0.546924331841721,5.51739285590325,"residual bootstrap",1.63572958372299,"Stethorus punctillum","juvenile mortality rate"
