species,temp,alpha,alphaLwr,alphaUpr,curve_ID,bmax,bmaxLwr,bmaxUpr,z,zLwr,zUpr,zj,zjLwr,zjUpr,kappa,rm_opt,rm_optLwr,rm_optUpr,mass,kT,rm_massCor,variance,sum,description
Aedes aegypti,33.108108108108105,5.430507461174581,6.139772578885419,4.974288435262056,3,8.966714766541042,6.913063478985081,10.160801833046492,0.04764626539687971,0.06109679934115055,0.03811804065429609,0.09966196403645966,0.13654248743547867,0.07683652697613957,0.01,0.1978135240220892,0.18504166757702784,0.19297752470917645,1.9991666666666663,37.89130088093526,0.21941595608508388,78.98463266666668,108.436,(1) Aedes aegypti
Anoplophora glabripennis,27.97297297297297,297.1901611280387,316.5892574389247,275.4388606133574,1,3.2796340191976943,2.5029360159516534,4.185760619294826,0.01833954304710628,0.02230555969689198,0.01491688439075997,0.00171895520229704,0.00220833744399754,0.00140247753147754,0.01,0.01275389946542586,0.01050470679470944,0.0150127289457934,159.8,38.5374719403819,0.027248103449398934,60.45172558333334,90.701,(2) Anoplophora glabripennis
Anthonomus grandis,29.45945945945946,11.00611018665514,13.270318307195394,9.919389720639533,4,6.292495806094644,5.36975703629954,10.030917013028132,0.04069539545044766,0.05183634287407934,0.03522925333441284,0.03693252992808522,0.04054649710485185,0.0342151721332964,0.01,0.14365572933904497,0.1333461278453061,0.15805344128934537,15.6,38.348167113741454,0.2166881077979466,92.71247633333333,90.858,(3) Anthonomus grandis
Aphis gossypii,28.24324324324324,4.57351095076827,4.799221393226395,4.398613867771712,6,3.2065004739350527,2.55228131538747,3.740293569806166,0.1227922338869142,0.12950868754774264,0.11788241755131122,0.07348137654798875,0.09244444560244292,0.06178555025263503,0.01,0.23529947882824023,0.2058081826507448,0.2540482803777889,0.6633333333333333,38.50291398929853,0.22128346079742497,67.62297891666665,87.435,(4) Aphis gossypii
Aphis nasturtii,25.855855855855857,6.736810029391903,7.19338733312533,6.4252593985539965,12,2.982605772354247,2.5989755756099626,3.4218995303943576,0.06558661164165512,0.06941750248058136,0.06264593702958432,0.10978896438514953,117860.09280163416,0.03927909700970533,0.01,0.1470273514829091,-42850.988385880526,0.17829908915727816,0.8673,38.81033730371022,0.14392863156243324,61.52581799999999,87.82,(5) Aphis nasturtii
Aulacorthum solani,20.45045045045045,9.311299333854068,9.911515838292145,8.78305665418682,22,4.006068478296631,3.739222729600512,4.226587526048987,0.04685368758916633,0.05429120828867282,0.04142620025983056,0.19924209664288944,0.2823376112054346,0.12314417300881314,0.01,0.08921391274581209,0.04966737039422131,0.11787492273679478,0.45465333333333335,39.52486484181591,0.07928949227265045,109.3660835833333,60.927,(6) Aulacorthum solani
Bemisia argentifolii,27.43243243243243,10.111556923251309,10.957143286919136,9.535093874290398,20,7.834129549567162,6.601942472588462,9.505736061052756,0.05490528631632113,0.05791751151477438,0.05070562320449096,0.02733229969839752,0.04160813922740191,0.01762897906374747,0.01,0.1770057878317886,0.16046638228835852,0.18784659717287783,0.02,38.606774280326206,0.09858074564541948,28.23089399999999,90.46799999999999,(7) Bemisia argentifolii
Bemisia tabaci,30.225225225225223,12.226305483022266,13.061690277300125,10.74231324758784,7,9.793601738621462,7.520673783947832,11.794229839665716,0.06851774053769777,0.07461425074590723,0.06203174364191941,0.02761877324889833,0.03631368148006693,0.02210911988896417,0.01,0.1798106697001525,0.16129362286372378,0.19739044142365184,0.293125,38.25137043717116,0.1496502085556226,54.88714266666665,104.49600000000001,(8) Bemisia tabaci
Dactylopius austrinus,29.774774774774773,33.25641322721501,34.06066355154444,32.48994290036014,21,59.690300490092845,48.85891273591804,71.73407568247539,0.03541156200715656,0.0407177736615584,0.02952905250181529,0.01032834142642627,0.01221496717542758,0.00360578942737093,0.01,0.12369783413689302,0.12001955661753148,0.12782169257649373,22.71755547836842,38.30825039047502,0.1973773466579576,28.867387583333336,105.381,(9) Dactylopius austrinus
Halyomorpha halys,29.774774774774773,29.8032469644395,35.14705528601601,26.738998258030307,2,6.254050944626508,4.571432352461077,7.953407964855413,0.01385860389469336,0.01787247870321711,0.01180806749979525,0.00323117476769364,0.0082950745820746,0.00291789851090996,0.01,0.07630759647216592,0.0677002780561487,0.0801868905301479,158.81,38.30825039047502,0.16287606107345928,43.701914000000016,109.156,(10) Halyomorpha halys
Helicoverpa armigera,32.43243243243243,19.75773461521444,22.629949838436453,18.46852144716684,15,22.762235896329585,18.471076897235385,27.322232986226737,0.1357944483623347,0.1830001294799029,0.10680596675020196,0.03948529932596163,0.05261223723565998,0.02993152237410801,0.01,0.16044510761863578,0.1211974633922319,0.1813614602406584,155.6976923076923,37.975082628862204,0.34145218894171114,45.689668916666676,108.469,(11) Helicoverpa armigera
Hyperaspis notata,30.18018018018018,18.793267826395585,20.75240088838217,17.184610547395444,17,9.69472685495528,7.4529430771049725,12.111635306466756,0.04118388684908358,0.05222268775854712,0.03247145764886668,0.01030009442704916,0.01121744937392777,0.00969085194681912,0.01,0.13175717139037418,0.1236392443763731,0.1347060721709659,5.133333333333333,38.25705083040916,0.16829156124177294,21.104369666666656,111.43799999999999,(12) Hyperaspis notata
Muscidifurax zaraptor,31.666666666666664,11.467840180061906,13.275371599065188,10.000508916036363,11,12.73153346348283,11.44269410166124,15.232541736976376,0.2309992086049577,0.2777167574074498,0.20356941700516837,0.00969347779489629,0.01468076091240594,0.00764971896256938,0.01,0.2468990912994473,0.20824041282270808,0.28541685097806996,0.895,38.070484296190024,0.24283505604116698,46.36248224999999,103.13499999999999,(13) Muscidifurax zaraptor
Ophraella communa,30.405405405405403,12.243419390582105,14.356709847093022,11.041633698762038,19,28.25114496036222,21.64788922221011,35.667883743758665,0.01905134965818677,0.02264325417380554,0.01690724486324697,0.04156001824787817,0.0456726704084867,0.03816694866845849,0.01,0.13652537130100223,0.12983324099269505,0.14040029043127566,9.85,38.22866572266178,0.19224216562085603,29.531620250000003,100.41499999999999,(14) Ophraella communa
Paracoccus marginatus,27.747747747747745,11.249194562266752,14.346791675449472,9.138949289301504,5,14.925416021819462,10.285558063751315,45.48687650390181,0.0502894159681129,0.05979298279532785,0.04609722530656587,0.01548299802977093,0.01973526514461617,0.01289169349275535,0.01,0.1917488510442567,0.1642491582456044,0.24402897740090732,3.365,38.56631765578639,0.22992112364733497,39.66023599999999,84.752,(15) Paracoccus marginatus
Rhopalosiphum maidis,28.828828828828826,5.142069296705259,5.370891071719929,4.979961307866483,13,3.661306243754371,2.9933317698439623,4.520733389565529,0.11730694706697473,0.13876462921819677,0.10399743139476812,0.01859723158795404,0.02234022643407013,0.00848393690413607,0.01,0.2510826173848387,0.2383039221606802,0.26454191631815327,0.2995714285714286,38.428250637822465,0.20964863034766937,35.51883024999999,95.845,(16) Rhopalosiphum maidis
Scapsipedus icipe,31.126126126126124,60.727225947718765,74.68129944240368,46.612846663110574,16,47.93814624901026,42.06736345986649,57.00814514819846,0.01998218777412638,0.02460628493205621,0.01728474341306693,0.01890874205642253,0.02694436086755584,0.0147855694794813,0.01,0.0662070995945706,0.04914907505662787,0.08353522848824356,647.2380951833334,38.13811576114293,0.17437671210205696,64.56285091666668,102.333,(17) Scapsipedus icipe
Stethorus punctillum,30.945945945945944,7.449749110868091,7.965410276586143,7.036821372318992,9,6.478402513603009,4.881561687519454,8.66237050167804,0.03427692261470744,0.04818279472937443,0.02672411907013604,0.05660476791661861,0.07541578977736349,0.04563971425224582,0.01,0.15195914298916477,0.15222719529575018,0.1500618409629256,0.48,38.16071301263932,0.13615544006962427,80.41428366666666,95.21000000000001,(18) Stethorus punctillum
Tetraneura nigriabdominalis,29.18918918918919,8.639694047057464,8.704294026049949,8.580308709337045,8,3.037762140608088,2.60639358725586,3.839114665043621,0.08826039444198296,0.09505572753973844,0.08268977807540584,0.01021367891451329,0.01212825553931039,0.00875541291650388,0.01,0.17766166068833944,0.17042501986673966,0.1883740806386533,0.8673,38.382447715994836,0.1739172980134546,101.04056666666668,103.86000000000001,(19) Tetraneura nigriabdominalis
